"","site","round","sample_pt","sample_id","year","barcode_id","active_flower","pre_id","final_id","notes","plate","well","microcentrifuge","pollen","natalia_pollen","gut_plate","subsite","lat","long"
"22","PM",8,"PM40","8_PM40",2022,"PM8_40_01","TRME","B. impatiens","B. impatiens","","impatiens_DNA_02","A2","y","yy","","bcparasite01_A1","pittmeadows2","49.2568274","-122.6668088"
"23","SD",9,"SD27","9_SD27",2022,"SD9_27_02","RARA","B. impatiens","B. impatiens","","impatiens_DNA_07","D5","y","y","","bcparasite01_A10","southdelta3","49.0571951","-123.0749858"
"24","PM",3,"PM49","3_PM49",2022,"PM3_49_02","SYAL","B. mixtus","B. mixtus","","mixtus_DNA_02","C9","y","y","","bcparasite01_A11","pittmeadows4","49.2474187","-122.6406256"
"25","W",8,"W02","8_W02",2022,"W8_02_01","MASY","B. impatiens","B. impatiens","","impatiens_DNA_07","D12","y","n","","bcparasite01_A12","westham3","49.0898095","-123.1642782"
"26","SD",6,"SD36","6_SD36",2022,"SD6_36_01","VICR","B. mixtus","B. mixtus","","mixtus_DNA_07","E1","n","y","","bcparasite01_A3","southdelta3","49.0597409","-123.0816311"
"27","HR",8,"HR07A","8_HR07A",2022,"HR8_07A_05","IMGL","B. impatiens","B. impatiens","","impatiens_DNA_07","A9","y","y","","bcparasite01_A4","harvieroad3","49.1534589","-122.7224307"
"28","SD",6,"SD27","6_SD27",2022,"SD6_27_03","RUAR","B. mixtus","B. mixtus","","mixtus_DNA_07","F12","n","y","","bcparasite01_A5","southdelta3","49.0571951","-123.0749858"
"29","NR",10,"NR29","10_NR29",2022,"NR10_29_01","CHAN","B. impatiens","B. impatiens","","impatiens_DNA_07","C1","y","n","","bcparasite01_A6","nicomekl4","49.0749252","-122.7620714"
"30","SD",4,"SD27","4_SD27",2022,"SD4_27_01","RUAR","B. mixtus","B. mixtus","","mixtus_DNA_07","G10","n","y","","bcparasite01_A7","southdelta3","49.0571951","-123.0749858"
"31","SD",3,"SD08","3_SD08",2022,"SD3_08_04","RONU","B. impatiens","B. impatiens","","impatiens_DNA_07","C9","y","y","","bcparasite01_A8","southdelta1","49.0684202","-123.0638309"
"32","PM",4,"PM41","4_PM41",2022,"PM4_41_01","HYRA","B. rufocinctus","B. rufocinctus","","","","y","n","","bcparasite01_A9","pittmeadows2","49.2568204","-122.6611721"
"33","PM",4,"PM51A","4_PM51A",2022,"PM4_51A_02","HYRA","B. impatiens","B. impatiens","","impatiens_DNA_02","A3","y","n","","bcparasite01_B1","pittmeadows3","49.2460018","-122.6559901"
"34","NR",6,"NR20","6_NR20",2022,"NR6_20_01","N/A","N/A","B. impatiens","","impatiens_DNA_07","D6","y","n","","bcparasite01_B10","nicomekl2","49.0864015","-122.779016"
"35","PM",5,"PM65","5_PM65",2022,"PM5_65_03","CHAN","B. flavifrons","B. mixtus","","mixtus_DNA_02","F12","y","n","","bcparasite01_B11","pittmeadows2","49.2547515","-122.6556663"
"36","HR",5,"HR07A","5_HR07A",2022,"HR5_07A_01","IMGL","B. impatiens","B. impatiens","","impatiens_DNA_07","E1","y","n","","bcparasite01_B12","harvieroad3","49.1534589","-122.7224307"
"37","SD",7,"SD26","7_SD26",2022,"SD7_26_01","TRHY","B. mixtus","B. mixtus","","mixtus_DNA_06","D7","n","y","","bcparasite01_B3","southdelta4","49.0584528","-123.0671996"
"38","HR",7,"HR04","7_HR04",2022,"HR7_04_02","SPDO","B. impatiens","B. impatiens","","impatiens_DNA_07","A10","y","y","","bcparasite01_B4","harvieroad3","49.1534069","-122.719946"
