"","site","round","sample_pt","sample_id","sampledImp","julian_date","subsite","lat","long","impatiens_abundance","rufocinctus_abundance","californicus_abundance","vos_abundance","flavifrons_abundance","mixtus_abundance","bombus_shannon_diversity","floral_diversity","floral_abundance","prop_blueberry","prop_edge","landscape_shdi","barcode_id","final_id","apidae","apicystis","ascosphaera","nbombii","nceranae","crithidiaspp","cbombii","cexpoeki","caste","hascrithidia","hasnosema","any_parasite","native_bee_abundance","weighted_z_mix","weighted_z_imp","weighted_z_flav","weighted_z_rufo","weighted_z_cal","weighted_z_vos","adjusted_julian"
"1","W",1,"W13","1_W13",FALSE,129,"","49.0821","-123.1561427",0,0,0,0,0,0,0,0.304636097349238,1.07918124604762,0.000540131105705564,0.0872877284754577,1.87709830392127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.4339818463788,-4.65250300335608,-3.3945722188168,-3.07341856998189,-4.53822714903702,-3.39759136924274,0
"2","W",1,"W15A","1_W15A",FALSE,129,"westham4","49.0798526","-123.1470765",0,0,0,0,0,1,0,0.353288133485761,2.04921802267018,0,0.0708676929647066,1.04264759575187,"W1_15A_01","B. mixtus",NA,NA,NA,NA,NA,NA,NA,NA,"worker",NA,NA,NA,1,-2.4339818463788,-4.65250300335608,-3.3945722188168,-3.07341856998189,-4.53822714903702,-3.39759136924274,-2.4339818463788
"3","W",1,"W17A","1_W17A",FALSE,129,"westham4","49.0774536","-123.1492915",0,0,0,0,0,0,0,0.0555460752688918,2.00860017176192,0.0449538590977201,0.0758347747731718,0.892923589237775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.4339818463788,-4.65250300335608,-3.3945722188168,-3.07341856998189,-4.53822714903702,-3.39759136924274,0
"4","W",1,"W16","1_W16",FALSE,129,"westham4","49.080608","-123.1570558",0,0,0,0,1,0,0,0.0555460752688918,2.00860017176192,0.0712130609173957,0.0779158554006172,2.05863214430259,"W1_16_01","B. flavifrons",NA,NA,NA,NA,NA,NA,NA,NA,"worker",NA,NA,NA,1,-2.4339818463788,-4.65250300335608,-3.3945722188168,-3.07341856998189,-4.53822714903702,-3.39759136924274,-3.3945722188168
"5","W",1,"W18","1_W18",FALSE,129,"westham4","49.0821167","-123.1545951",0,0,0,0,0,0,0,0.85158425391957,2.32428245529769,0,0.0952060191657559,1.85109439561416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.4339818463788,-4.65250300335608,-3.3945722188168,-3.07341856998189,-4.53822714903702,-3.39759136924274,0
"6","W",1,"W06","1_W06",FALSE,129,"","49.0903677","-123.1541834",0,0,0,0,0,0,0,0,0.301029995663981,0.0137718137557674,0.0589218149656087,1.281849182373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.4339818463788,-4.65250300335608,-3.3945722188168,-3.07341856998189,-4.53822714903702,-3.39759136924274,0
"7","W",1,"W07","1_W07",FALSE,129,"","49.08895","-123.15287",0,0,0,0,0,0,0,0,0.301029995663981,0.00634952912319052,0.0529758651805345,1.73025787796174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.4339818463788,-4.65250300335608,-3.3945722188168,-3.07341856998189,-4.53822714903702,-3.39759136924274,0
"8","W",1,"W23","1_W23",FALSE,130,"westham1","49.0910268","-123.1399612",0,0,0,0,0,0,0,0,4.00004342727686,0.233960700682356,0.0351192692731494,1.81287019625344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.38931405811516,-4.59623816400749,-3.31716242784726,-3.02746568846807,-4.47780907412549,-3.3505120079756,0
"9","W",1,"W22","1_W22",FALSE,130,"westham1","49.0930151","-123.1427507",0,0,0,0,0,0,0,0,4.00004342727686,0.213389919048872,0.0286868733087518,1.80542380034126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.38931405811516,-4.59623816400749,-3.31716242784726,-3.02746568846807,-4.47780907412549,-3.3505120079756,0
"10","W",1,"W21","1_W21",FALSE,130,"westham1","49.090392","-123.1427507",0,0,0,0,0,0,0,0.304636097349238,2.04532297878666,0.237430252805776,0.045471993085654,1.47137871773986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.38931405811516,-4.59623816400749,-3.31716242784726,-3.02746568846807,-4.47780907412549,-3.3505120079756,0
"11","W",1,"W19","1_W19",FALSE,130,"westham1","49.0892561","-123.1465705",0,0,0,0,0,1,0,0,4.00004342727686,0.0308492601922153,0.0466405533116598,1.6313861626111,"W1_19_01","B. mixtus",NA,NA,NA,NA,NA,NA,NA,NA,"worker",NA,NA,NA,1,-2.38931405811516,-4.59623816400749,-3.31716242784726,-3.02746568846807,-4.47780907412549,-3.3505120079756,-2.38931405811516
"12","W",1,"W20","1_W20",FALSE,130,"westham1","49.0868017","-123.1425898",0,0,0,0,0,0,0,0,1.04139268515823,0,0.0391785258512429,1.54369344572369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.38931405811516,-4.59623816400749,-3.31716242784726,-3.02746568846807,-4.47780907412549,-3.3505120079756,0
"13","W",1,"W31","1_W31",FALSE,130,"","49.0881977","-123.1485244",0,0,0,0,0,0,0,0.85158425391957,1.34242268082221,0.0161370063228799,0.063640580815302,1.84356560976327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.38931405811516,-4.59623816400749,-3.31716242784726,-3.02746568846807,-4.47780907412549,-3.3505120079756,0
"14","W",1,"W33","1_W33",FALSE,130,"","49.0913947","-123.1468827",0,0,0,0,0,0,0,0.929086118162201,2.33041377334919,0.0842201454740489,0.036909941065598,1.31936882386384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.38931405811516,-4.59623816400749,-3.31716242784726,-3.02746568846807,-4.47780907412549,-3.3505120079756,0
"15","W",1,"W35A","1_W35A",FALSE,130,"","49.09449","-123.145",0,0,0,0,0,0,0,0.566085738959629,1.11394335230684,0.05471819215933,0.0301946504489734,1.69763522110555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.38931405811516,-4.59623816400749,-3.31716242784726,-3.02746568846807,-4.47780907412549,-3.3505120079756,0
"16","W",1,"W08","1_W08",FALSE,130,"","49.0864691","-123.1526511",0,0,0,0,0,0,0,0.693147180559945,1.32221929473392,0.0161463227916594,0.0778970740273993,1.51497237788124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.38931405811516,-4.59623816400749,-3.31716242784726,-3.02746568846807,-4.47780907412549,-3.3505120079756,0
"17","W",1,"W09","1_W09",FALSE,130,"","49.0889519","-123.1512088",0,0,0,0,0,0,0,0.566085738959629,1.11394335230684,0.0161698258340253,0.0876356930725853,1.7563452155401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.38931405811516,-4.59623816400749,-3.31716242784726,-3.02746568846807,-4.47780907412549,-3.3505120079756,0
