"","site","round","sample_pt","sample_id","sampledImp","subsite","lat","long","julian_date","impatiens_abundance","bombus_shannon_diversity","bombus_richness","floral_diversity","floral_abundance","barcode_id","final_id","apidae","apicystis","ascosphaera","nbombii","nceranae","crithidiaspp","cbombii","cexpoeki","caste","hascrithidia","hasnosema","any_parasite","native_bee_abundance"
"1","SD",8,"SD36","8_SD36",TRUE,"southdelta3",49.0597409,-123.0816311,216,8,1.2075153250377,4,0.110100081923397,3.00902574208691,"SD8_36_18","B. impatiens",1,1,0,0,0,0,1,0,"worker",1,0,1,15
"2","SD",8,"SD36","8_SD36",TRUE,"southdelta3",49.0597409,-123.0816311,216,8,1.2075153250377,4,0.110100081923397,3.00902574208691,"SD8_36_01","B. impatiens",1,0,0,0,0,0,0,0,"worker",0,0,0,15
"3","SD",8,"SD36","8_SD36",TRUE,"southdelta3",49.0597409,-123.0816311,216,8,1.2075153250377,4,0.110100081923397,3.00902574208691,"SD8_36_05","B. mixtus",1,0,0,0,0,0,0,0,"worker",0,0,0,15
"4","SD",8,"SD36","8_SD36",TRUE,"southdelta3",49.0597409,-123.0816311,216,8,1.2075153250377,4,0.110100081923397,3.00902574208691,"SD8_36_10","B. mixtus",1,0,0,0,0,0,1,0,"worker",1,0,1,15
"5","SD",8,"SD36","8_SD36",TRUE,"southdelta3",49.0597409,-123.0816311,216,8,1.2075153250377,4,0.110100081923397,3.00902574208691,"SD8_36_06","B. mixtus",1,0,0,0,0,0,0,0,"worker",0,0,0,15
"6","SD",8,"SD36","8_SD36",TRUE,"southdelta3",49.0597409,-123.0816311,216,8,1.2075153250377,4,0.110100081923397,3.00902574208691,"SD8_36_15","B. mixtus",1,1,0,1,0,0,1,0,"worker",1,1,1,15
"7","SD",8,"SD26","8_SD26",TRUE,"southdelta4",49.0584528,-123.0671996,216,2,1.05492016798614,3,0.0099386167254795,4.00056421616538,"SD8_26_01","B. impatiens",1,0,0,0,0,0,0,0,"worker",0,0,0,3
"8","SD",8,"SD26","8_SD26",TRUE,"southdelta4",49.0584528,-123.0671996,216,2,1.05492016798614,3,0.0099386167254795,4.00056421616538,"SD8_26_02","B. impatiens",1,0,0,0,0,0,0,0,"worker",0,0,0,3
"9","SD",8,"SD26","8_SD26",TRUE,"southdelta4",49.0584528,-123.0671996,216,2,1.05492016798614,3,0.0099386167254795,4.00056421616538,"SD8_26_04","B. vosnesenskii",1,0,0,0,0,0,1,0,"worker",1,0,1,3
"10","SD",8,"SD26","8_SD26",TRUE,"southdelta4",49.0584528,-123.0671996,216,2,1.05492016798614,3,0.0099386167254795,4.00056421616538,"SD8_26_05","B. vosnesenskii",1,0,0,0,0,0,1,0,"worker",1,0,1,3
"11","SD",8,"SD25","8_SD25",TRUE,"southdelta4",49.058024,-123.0639996,216,0,0,1,1.63648694265625,2.26007138798507,"SD8_25_01","B. mixtus",1,0,0,0,0,0,0,0,"worker",0,0,0,3
"12","SD",8,"SD25","8_SD25",TRUE,"southdelta4",49.058024,-123.0639996,216,0,0,1,1.63648694265625,2.26007138798507,"SD8_25_03","B. mixtus",1,0,0,0,0,0,0,0,"worker",0,0,0,3
"13","SD",8,"SD40","8_SD40",TRUE,"southdelta2",49.0664297,-123.0753682,216,6,0.636514168294813,2,0.839074215719937,3.10209052551184,"SD8_40_09","B. impatiens",1,1,0,0,0,0,0,0,"worker",0,0,1,3
"14","SD",8,"SD40","8_SD40",TRUE,"southdelta2",49.0664297,-123.0753682,216,6,0.636514168294813,2,0.839074215719937,3.10209052551184,"SD8_40_05","B. mixtus",1,1,0,0,0,0,1,0,"worker",1,0,1,3
