"","sample_pt","round","final_id","sample_id","subsite","julian_date","impatiens_abundance","native_bee_abundance","bombus_shannon_diversity","floral_diversity","floral_abundance","prop_blueberry","prop_edge","landscape_shdi","number_screened","spp_apicystis","spp_nbombi","spp_ascosphaera","spp_nceranae","spp_crithidia","spp_cexpoeki","spp_cbombi","spp_anycrithidia","spp_anynosema","spp_anyparasite","weightsPar"
"1","ED01","1",NA,"1_ED01","eastdelta3",140,0,0,0,0.448247380404822,3.05346260492546,0.00033933761805327,0.0511001783111154,0.713468789734675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ED01","10","B. impatiens","10_ED01","eastdelta3",233,4,1,0.500402423538188,1.73255208811694,2.28103336724773,0.00033933761805327,0.0511001783111154,0.713468789734675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ED01","10","B. rufocinctus","10_ED01","eastdelta3",233,4,1,0.500402423538188,1.73255208811694,2.28103336724773,0.00033933761805327,0.0511001783111154,0.713468789734675,1,0,0,0,0,0,0,0,0,0,0,1
"4","ED01","2",NA,"2_ED01","eastdelta3",157,0,0,0,1.00128107736386,3.34281731463573,0.00033933761805327,0.0511001783111154,0.713468789734675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ED01","3","B. flavifrons","3_ED01","eastdelta3",167,0,3,1.09861228866811,0.741003389636906,3.09412159584056,0.00033933761805327,0.0511001783111154,0.713468789734675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","ED01","3","B. mixtus","3_ED01","eastdelta3",167,0,3,1.09861228866811,0.741003389636906,3.09412159584056,0.00033933761805327,0.0511001783111154,0.713468789734675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ED01","3","B. rufocinctus","3_ED01","eastdelta3",167,0,3,1.09861228866811,0.741003389636906,3.09412159584056,0.00033933761805327,0.0511001783111154,0.713468789734675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ED01","4",NA,"4_ED01","eastdelta3",178,0,0,0,1.72749419867945,2.64738297011462,0.00033933761805327,0.0511001783111154,0.713468789734675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ED01","5","B. flavifrons","5_ED01","eastdelta3",190,1,2,1.09861228866811,1.76312689589413,3.26997967664532,0.00033933761805327,0.0511001783111154,0.713468789734675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ED01","5","B. impatiens","5_ED01","eastdelta3",190,1,2,1.09861228866811,1.76312689589413,3.26997967664532,0.00033933761805327,0.0511001783111154,0.713468789734675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","ED01","5","B. rufocinctus","5_ED01","eastdelta3",190,1,2,1.09861228866811,1.76312689589413,3.26997967664532,0.00033933761805327,0.0511001783111154,0.713468789734675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ED01","6","B. flavifrons","6_ED01","eastdelta3",202,5,3,0.900256051268537,1.61115781734392,2.25767857486918,0.00033933761805327,0.0511001783111154,0.713468789734675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ED01","6","B. impatiens","6_ED01","eastdelta3",202,5,3,0.900256051268537,1.61115781734392,2.25767857486918,0.00033933761805327,0.0511001783111154,0.713468789734675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ED01","6","B. rufocinctus","6_ED01","eastdelta3",202,5,3,0.900256051268537,1.61115781734392,2.25767857486918,0.00033933761805327,0.0511001783111154,0.713468789734675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","ED01","7","B. californicus","7_ED01","eastdelta3",210,2,3,1.05492016798614,1.68750087232231,2.44870631990508,0.00033933761805327,0.0511001783111154,0.713468789734675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","ED01","7","B. impatiens","7_ED01","eastdelta3",210,2,3,1.05492016798614,1.68750087232231,2.44870631990508,0.00033933761805327,0.0511001783111154,0.713468789734675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","ED01","7","B. rufocinctus","7_ED01","eastdelta3",210,2,3,1.05492016798614,1.68750087232231,2.44870631990508,0.00033933761805327,0.0511001783111154,0.713468789734675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","ED01","8","B. impatiens","8_ED01","eastdelta3",220,5,2,0.598269588585257,1.39731233416238,2.40140054078154,0.00033933761805327,0.0511001783111154,0.713468789734675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","ED01","8","B. rufocinctus","8_ED01","eastdelta3",220,5,2,0.598269588585257,1.39731233416238,2.40140054078154,0.00033933761805327,0.0511001783111154,0.713468789734675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","ED01","9","B. impatiens","9_ED01","eastdelta3",227,4,2,0.636514168294813,1.64531430907799,2.43775056282039,0.00033933761805327,0.0511001783111154,0.713468789734675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ED01","9","B. rufocinctus","9_ED01","eastdelta3",227,4,2,0.636514168294813,1.64531430907799,2.43775056282039,0.00033933761805327,0.0511001783111154,0.713468789734675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","ED02","1",NA,"1_ED02","",140,0,0,0,0,NA,0,0.120088557208872,1.13863412466699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","ED02","2","B. impatiens","2_ED02","",157,2,0,0,1.02946611506915,2.15228834438306,0,0.120088557208872,1.13863412466699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","ED02","3",NA,"3_ED02","",167,0,0,0,0.693147180559945,1.32221929473392,0,0.120088557208872,1.13863412466699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","ED02","4",NA,"4_ED02","",178,0,0,0,0.693147180559945,1.32221929473392,0,0.120088557208872,1.13863412466699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","ED02","5",NA,"5_ED02","",189,0,0,0,0,2.00432137378264,0,0.120088557208872,1.13863412466699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","ED02","6","B. impatiens","6_ED02","",202,1,1,0.693147180559945,0,2.00432137378264,0,0.120088557208872,1.13863412466699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","ED02","6","B. mixtus","6_ED02","",202,1,1,0.693147180559945,0,2.00432137378264,0,0.120088557208872,1.13863412466699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","ED02","7","B. mixtus","7_ED02","",210,0,1,0,0,1.04139268515823,0,0.120088557208872,1.13863412466699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","ED02","9","B. californicus","9_ED02","",227,3,1,0.562335144618808,0.304636097349238,2.04532297878666,0,0.120088557208872,1.13863412466699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","ED02","9","B. impatiens","9_ED02","",227,3,1,0.562335144618808,0.304636097349238,2.04532297878666,0,0.120088557208872,1.13863412466699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","ED03","1",NA,"1_ED03","",140,0,0,0,0,NA,0.0260742804345036,0.0410050976768777,0.777249937138977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","ED03","6",NA,"6_ED03","",202,0,0,0,1.6094379124341,1.70757017609794,0.0260742804345036,0.0410050976768777,0.777249937138977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","ED03A","10","B. impatiens","10_ED03A","eastdelta3",233,1,1,0.693147180559945,1.94591014905531,1.85125834871908,0,0.0420193700907496,0.752844616376238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","ED03A","10","B. rufocinctus","10_ED03A","eastdelta3",233,1,1,0.693147180559945,1.94591014905531,1.85125834871908,0,0.0420193700907496,0.752844616376238,1,0,0,0,0,1,0,0,1,0,1,1
"36","ED03A","2",NA,"2_ED03A","eastdelta3",157,0,0,0,0.353288133485761,2.04921802267018,0,0.0420193700907496,0.752844616376238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","ED03A","3","B. mixtus","3_ED03A","eastdelta3",167,0,1,0,0.110100081923397,3.00902574208691,0,0.0420193700907496,0.752844616376238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","ED03A","4",NA,"4_ED03A","eastdelta3",178,0,0,0,0.494594329721253,2.06069784035361,0,0.0420193700907496,0.752844616376238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","ED03A","5",NA,"5_ED03A","eastdelta3",190,0,0,0,1.17299347243951,2.17897694729317,0,0.0420193700907496,0.752844616376238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","ED03A","8",NA,"8_ED03A","eastdelta3",220,0,0,0,1.46714758573451,1.6232492903979,0,0.0420193700907496,0.752844616376238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","ED03A","9","B. rufocinctus","9_ED03A","eastdelta3",227,0,2,0,1.73721959070254,1.72427586960079,0,0.0420193700907496,0.752844616376238,2,0,0,0,0,0,0,0,0,0,0,1
"42","ED04","1",NA,"1_ED04","eastdelta3",140,0,0,0,0.0555460752688918,2.00860017176192,0,0.11012476282101,1.57921238184118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","ED04","10","B. impatiens","10_ED04","eastdelta3",233,1,0,0,0.748693255828837,2.30749603791321,0,0.11012476282101,1.57921238184118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","ED04","2",NA,"2_ED04","eastdelta3",157,0,0,0,0.609272194698476,2.08635983067475,0,0.11012476282101,1.57921238184118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","ED04","3","B. flavifrons","3_ED04","eastdelta3",167,0,1,0,0.693147180559945,1.32221929473392,0,0.11012476282101,1.57921238184118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","ED04","4",NA,"4_ED04","eastdelta3",178,0,0,0,0.110100081923397,2.01283722470517,0,0.11012476282101,1.57921238184118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","ED04","5",NA,"5_ED04","eastdelta3",189,0,0,0,0.353288133485761,2.04921802267018,0,0.11012476282101,1.57921238184118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","ED04","7",NA,"7_ED04","eastdelta3",210,0,0,0,1.38629436111989,0.698970004336019,0,0.11012476282101,1.57921238184118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","ED04","8","B. impatiens","8_ED04","eastdelta3",220,4,0,0,0.110100081923397,2.01283722470517,0,0.11012476282101,1.57921238184118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","ED05","1","B. impatiens","1_ED05","eastdelta3",140,1,0,0,0.85158425391957,1.34242268082221,0,0.0787470830176976,1.27893803226026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","ED05","10",NA,"10_ED05","eastdelta3",233,0,0,0,1.46714758573451,1.6232492903979,0,0.0787470830176976,1.27893803226026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","ED05","2",NA,"2_ED05","eastdelta3",157,0,0,0,1.50600288335417,2.23552844690755,0,0.0787470830176976,1.27893803226026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
