"","Comparison","Estimate","EstError","Pgt0","Plt0","BayesP","Pgt0Stars","Plt0Stars","adjusted_p"
"1","Intercept - final_idBombus_flavifrons",-6.73872752384315,2.67077438055308,3e-04,0.9997,0.000266666666666637,"***","ns",0.00399999999999956
"2","Intercept - final_idBombus_impatiens",-6.95964524551522,2.66189263789639,0,1,0,"***","ns",0
"3","Intercept - final_idBombus_mixtus",-8.07588547454814,2.66192077129208,0,1,0,"***","ns",0
"4","Intercept - final_idBombus_rufocinctus",-5.78794920982963,2.71110506302968,0.0046,0.9954,0.00460000000000005,"**","ns",0.0690000000000007
"5","Intercept - final_idBombus_vosnesenskii",-8.1984807070534,2.67277031493821,0,1,0,"***","ns",0
"6","final_idBombus_flavifrons - final_idBombus_impatiens",-0.220917721672064,0.330811643609965,0.2527,0.7473,0.252733333333333,"ns","ns",1
"7","final_idBombus_flavifrons - final_idBombus_mixtus",-1.33715795070499,0.312678469984619,0,1,0,"***","ns",0
"8","final_idBombus_flavifrons - final_idBombus_rufocinctus",0.950778314013527,0.700510480410782,0.9274,0.0726,0.0726,"ns","ns",1
"9","final_idBombus_flavifrons - final_idBombus_vosnesenskii",-1.45975318321024,0.408734487699341,3e-04,0.9997,0.000266666666666637,"***","ns",0.00399999999999956
"10","final_idBombus_impatiens - final_idBombus_mixtus",-1.11624022903292,0.214743498746021,0,1,0,"***","ns",0
"11","final_idBombus_impatiens - final_idBombus_rufocinctus",1.17169603568559,0.667355324581134,0.9767,0.0233,0.0232666666666667,"ns","*",0.349
"12","final_idBombus_impatiens - final_idBombus_vosnesenskii",-1.23883546153818,0.335261989483601,1e-04,0.9999,0.000133333333333319,"***","ns",0.00199999999999978
"13","final_idBombus_mixtus - final_idBombus_rufocinctus",2.28793626471851,0.659743955739292,1,0,0,"ns","***",0
"14","final_idBombus_mixtus - final_idBombus_vosnesenskii",-0.122595232505256,0.3182623296916,0.3488,0.6512,0.3488,"ns","ns",1
"15","final_idBombus_rufocinctus - final_idBombus_vosnesenskii",-2.41053149722377,0.710486113602451,0,1,0,"***","ns",0
