"","Comparison","Estimate","EstError","Pgt0","Plt0","BayesP","Pgt0Stars","Plt0Stars","adjusted_p"
"1","Intercept - final_idBombus_flavifrons",-9.90437921690714,3.51219100011483,0,1,0,"***","ns",0
"2","Intercept - final_idBombus_impatiens",-6.30608696030838,3.54553271135491,0.0171,0.9829,0.0170666666666667,"*","ns",0.256
"3","Intercept - final_idBombus_mixtus",-6.89895729855241,3.52906230366403,0.0081,0.9919,0.00806666666666667,"**","ns",0.121
"4","Intercept - final_idBombus_rufocinctus",-2.66120062928427,4.32625427099259,0.2628,0.7372,0.2628,"ns","ns",1
"5","Intercept - final_idBombus_vosnesenskii",-7.95747380806621,3.55206958271551,0.0021,0.9979,0.00206666666666666,"**","ns",0.0309999999999999
"6","final_idBombus_flavifrons - final_idBombus_impatiens",3.59829225659875,0.798942186087527,1,0,0,"ns","***",0
"7","final_idBombus_flavifrons - final_idBombus_mixtus",3.00542191835473,0.666660484692024,1,0,0,"ns","***",0
"8","final_idBombus_flavifrons - final_idBombus_rufocinctus",7.24317858762287,3.49440811710641,1,0,0,"ns","***",0
"9","final_idBombus_flavifrons - final_idBombus_vosnesenskii",1.94690540884093,0.865081279406335,0.9975,0.0025,0.00246666666666662,"ns","**",0.0369999999999993
"10","final_idBombus_impatiens - final_idBombus_mixtus",-0.592870338244023,0.973998988825652,0.2702,0.7298,0.2702,"ns","ns",1
"11","final_idBombus_impatiens - final_idBombus_rufocinctus",3.64488633102411,3.57561776865812,0.8547,0.1453,0.145333333333333,"ns","ns",1
"12","final_idBombus_impatiens - final_idBombus_vosnesenskii",-1.65138684775782,1.11101756968166,0.0655,0.9345,0.0654666666666667,"ns","ns",0.982
"13","final_idBombus_mixtus - final_idBombus_rufocinctus",4.23775666926813,3.54430056416859,0.9104,0.0896,0.0896,"ns","ns",1
"14","final_idBombus_mixtus - final_idBombus_vosnesenskii",-1.0585165095138,1.03663845721882,0.1463,0.8537,0.146266666666667,"ns","ns",1
"15","final_idBombus_rufocinctus - final_idBombus_vosnesenskii",-5.29627317878193,3.56250612533215,0.0301,0.9699,0.0301333333333333,"*","ns",0.452
