"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"bombusrichness_Intercept",-2.25,0.06,-2.37,-2.13,1,16058.56,14988.94,0,1,"","***"
"nativebeeabundance_Intercept",-0.08,0.09,-0.26,0.1,1,11192.81,13690.64,0.2,0.8,"",""
"impatiensabundance_Intercept",-0.98,0.1,-1.19,-0.78,1,11806.63,14518.57,0,1,"","***"
"hascrithidia_Intercept",-2.24,0.95,-4.16,-0.37,1,10877.01,12812.3,0.01,0.99,"","***"
"hasnosema_Intercept",-2.64,1.37,-5.25,0.15,1,9672.37,12388.99,0.03,0.97,"","*"
"apicystis_Intercept",-1.97,0.66,-3.33,-0.71,1,23806.12,15604.51,0,1,"","***"
"bombusrichness_floral_abundance",0.43,0.04,0.35,0.5,1,17862.9,15645.99,1,0,"***",""
"bombusrichness_floral_diversity",0.08,0.04,0.01,0.15,1,20476.37,15790.59,0.98,0.02,"**",""
"bombusrichness_prop_blueberry_500",-0.11,0.05,-0.2,-0.01,1,12485.61,15027.98,0.02,0.98,"","**"
"bombusrichness_prop_edge_500",0.1,0.05,-0.01,0.2,1,10952.57,13674.33,0.97,0.03,"*",""
"bombusrichness_landscape_shdi_500",0,0.06,-0.11,0.11,1,10722.46,13892.28,0.5,0.5,"",""
"bombusrichness_julian_date",0.26,0.04,0.19,0.33,1,23530.53,15413.61,1,0,"***",""
"bombusrichness_Ijulian_dateE2",-0.19,0.04,-0.27,-0.11,1,27444.83,15548.67,0,1,"","***"
"nativebeeabundance_floral_abundance",0.52,0.05,0.42,0.63,1,16842.68,16359.04,1,0,"***",""
"nativebeeabundance_floral_diversity",0.06,0.05,-0.04,0.17,1,18432.03,16591.39,0.88,0.12,"",""
"nativebeeabundance_prop_blueberry_500",-0.19,0.08,-0.36,-0.03,1,9689.96,12835.34,0.01,0.99,"","***"
"nativebeeabundance_prop_edge_500",0.1,0.09,-0.07,0.27,1,7636.17,11086.04,0.87,0.13,"",""
"nativebeeabundance_landscape_shdi_500",0,0.09,-0.17,0.18,1,7617.04,11606.6,0.51,0.49,"",""
"nativebeeabundance_julian_date",-0.14,0.05,-0.25,-0.04,1,23708.25,15649.45,0,1,"","***"
"nativebeeabundance_Ijulian_dateE2",-0.43,0.05,-0.54,-0.32,1,24432.53,14845.06,0,1,"","***"
"impatiensabundance_floral_abundance",0.41,0.06,0.29,0.53,1,17221.66,15522.88,1,0,"***",""
"impatiensabundance_floral_diversity",-0.04,0.06,-0.15,0.07,1,18203.06,15696.36,0.25,0.75,"",""
"impatiensabundance_prop_blueberry_500",-0.09,0.08,-0.26,0.07,1,9777.38,13508.64,0.13,0.87,"",""
"impatiensabundance_prop_edge_500",0.11,0.09,-0.06,0.3,1,8774.43,12157.1,0.9,0.1,"",""
"impatiensabundance_landscape_shdi_500",0.08,0.1,-0.11,0.28,1,8504.77,12098.26,0.8,0.2,"",""
"impatiensabundance_julian_date",1.1,0.07,0.97,1.24,1,20145.3,15717.59,1,0,"***",""
"impatiensabundance_Ijulian_dateE2",-0.24,0.07,-0.39,-0.1,1,24910.66,16258.89,0,1,"","***"
"hascrithidia_floral_abundance",-0.04,0.13,-0.31,0.21,1,18755.43,16189.18,0.37,0.63,"",""
"hascrithidia_floral_diversity",-0.03,0.12,-0.26,0.19,1,21539.39,16538.84,0.38,0.62,"",""
"hascrithidia_bombus_richness",0.08,0.11,-0.13,0.29,1,20705.99,14775.4,0.76,0.24,"",""
"hascrithidia_native_bee_abundance",0.01,0.02,-0.03,0.04,1,21714.8,16062.13,0.61,0.39,"",""
"hascrithidia_impatiens_abundance",-0.1,0.05,-0.2,0,1,20548.97,15732,0.03,0.97,"","*"
"hascrithidia_prop_blueberry_500",-0.2,0.19,-0.58,0.18,1,16132.56,15288.48,0.15,0.85,"",""
"hascrithidia_prop_edge_500",-0.17,0.15,-0.47,0.13,1,13099.36,14649.43,0.13,0.87,"",""
"hascrithidia_landscape_shdi_500",0.14,0.18,-0.22,0.49,1,12820.19,13668.7,0.79,0.21,"",""
"hascrithidia_casteworker",1.26,0.46,0.39,2.19,1,23912.23,14364.15,1,0,"***",""
"hascrithidia_julian_date",0.3,0.15,0,0.59,1,23165.46,16076.52,0.97,0.03,"*",""
"hascrithidia_Ijulian_dateE2",-0.38,0.16,-0.7,-0.07,1,24683.22,14778.94,0.01,0.99,"","***"
"hasnosema_floral_abundance",-0.18,0.26,-0.69,0.32,1,16359.24,14754.24,0.25,0.75,"",""
"hasnosema_floral_diversity",-0.01,0.24,-0.49,0.47,1,20195,15256.43,0.49,0.51,"",""
"hasnosema_bombus_richness",0.15,0.22,-0.27,0.58,1,15520.62,15724.32,0.76,0.24,"",""
"hasnosema_native_bee_abundance",0.03,0.03,-0.03,0.09,1,20455.11,15834.97,0.81,0.19,"",""
"hasnosema_impatiens_abundance",0.17,0.12,-0.06,0.4,1,14241.11,14751.25,0.92,0.08,"",""
"hasnosema_prop_blueberry_500",0.36,0.4,-0.44,1.16,1,15355.54,13660.31,0.82,0.18,"",""
"hasnosema_prop_edge_500",-0.03,0.29,-0.6,0.56,1,15165.93,13456.02,0.44,0.56,"",""
"hasnosema_landscape_shdi_500",0.4,0.39,-0.36,1.17,1,13286.04,13541.84,0.85,0.15,"",""
"hasnosema_casteworker",-0.78,0.55,-1.84,0.34,1,26465.71,14897.08,0.08,0.92,"",""
"hasnosema_julian_date",-0.42,0.32,-1.06,0.2,1,19263.61,14327.58,0.09,0.91,"",""
"hasnosema_Ijulian_dateE2",0.15,0.31,-0.47,0.75,1,17040.41,13998.32,0.7,0.3,"",""
"apicystis_floral_abundance",0.1,0.15,-0.21,0.4,1,14568.61,15351.93,0.74,0.26,"",""
"apicystis_floral_diversity",-0.22,0.13,-0.48,0.03,1,21460.95,15430.41,0.05,0.95,"","*"
"apicystis_bombus_richness",-0.09,0.13,-0.35,0.17,1,16694.24,14131.02,0.25,0.75,"",""
"apicystis_native_bee_abundance",-0.02,0.03,-0.08,0.03,1,22532.45,16340.03,0.2,0.8,"",""
"apicystis_impatiens_abundance",-0.05,0.05,-0.16,0.05,1,23132.92,15976.79,0.16,0.84,"",""
"apicystis_prop_blueberry_500",-0.34,0.2,-0.74,0.04,1,17765.55,14128.98,0.04,0.96,"","*"
"apicystis_prop_edge_500",-0.08,0.16,-0.39,0.23,1,15084.74,15546.09,0.31,0.69,"",""
"apicystis_landscape_shdi_500",0,0.18,-0.36,0.36,1,15427.77,14608.93,0.5,0.5,"",""
"apicystis_casteworker",0.73,0.57,-0.33,1.92,1,27513.34,15392.98,0.9,0.1,"",""
"apicystis_julian_date",0.51,0.17,0.18,0.85,1,21456.46,15865.99,1,0,"***",""
"apicystis_Ijulian_dateE2",-0.38,0.2,-0.79,0,1,24221.82,16151.66,0.03,0.97,"","*"
