"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"floraldiversity_Intercept",0.17,0.05,0.08,0.26,1,2088.21,2768.17,1,0,"***",""
"floralabundance_Intercept",0.14,0.05,0.04,0.24,1,1084.86,1962.65,1,0,"***",""
"nativebeeabundance_Intercept",-0.07,0.09,-0.26,0.1,1,2736.43,3494.71,0.22,0.78,"",""
"bombusshannondiversity_Intercept",-0.27,0.03,-0.33,-0.21,1,6688.95,3932.86,0,1,"","***"
"impatiensabundance_Intercept",-0.97,0.1,-1.18,-0.78,1,3135.09,3933.58,0,1,"","***"
"hascrithidia_Intercept",-0.68,0.72,-2.16,0.75,1,2566.75,2771.72,0.16,0.84,"",""
"hasnosema_Intercept",-3.29,0.89,-5.03,-1.52,1,3594.84,3880.36,0,1,"","***"
"apicystis_Intercept",-1.37,0.38,-2.13,-0.61,1,4970.9,3856.28,0,1,"","***"
"anyparasite_Intercept",0.13,0.45,-0.75,1.01,1,2960.84,3417.95,0.62,0.38,"",""
"floraldiversity_julian_date",0.15,0.02,0.11,0.2,1,7037.87,3540.23,1,0,"***",""
"floraldiversity_Ijulian_dateE2",-0.2,0.02,-0.25,-0.16,1,8093.26,3887.7,0,1,"","***"
"floralabundance_julian_date",-0.24,0.02,-0.28,-0.2,1,6736.9,3582.87,0,1,"","***"
"floralabundance_Ijulian_dateE2",-0.13,0.02,-0.17,-0.08,1,7547.18,3720.76,0,1,"","***"
"nativebeeabundance_floral_abundance",0.54,0.05,0.44,0.65,1,4989.14,4257.15,1,0,"***",""
"nativebeeabundance_floral_diversity",0.06,0.05,-0.05,0.16,1,5287.42,4124.53,0.86,0.14,"",""
"nativebeeabundance_prop_blueberry",-0.17,0.08,-0.33,-0.02,1,2189.08,3571.71,0.01,0.99,"","***"
"nativebeeabundance_prop_edge",0.14,0.08,-0.02,0.31,1,2130.62,2811.67,0.96,0.04,"**",""
"nativebeeabundance_landscape_shdi",-0.06,0.09,-0.23,0.11,1,1970.71,3080.98,0.27,0.73,"",""
"nativebeeabundance_julian_date",-0.16,0.05,-0.26,-0.06,1,6723.22,4137.79,0,1,"","***"
"nativebeeabundance_Ijulian_dateE2",-0.42,0.06,-0.53,-0.31,1,7243.5,3746.14,0,1,"","***"
"bombusshannondiversity_floral_diversity",-0.01,0.02,-0.05,0.03,1,5791.49,3944.73,0.33,0.67,"",""
"bombusshannondiversity_floral_abundance",0.04,0.02,0,0.08,1,4058.56,4182.92,0.96,0.04,"**",""
"bombusshannondiversity_julian_date",-0.04,0.02,-0.08,0,1,7334.22,3982.51,0.04,0.96,"","**"
"bombusshannondiversity_Ijulian_dateE2",-0.08,0.03,-0.13,-0.03,1,8202.19,4036.12,0,1,"","***"
"bombusshannondiversity_landscape_shdi",-0.03,0.02,-0.08,0.02,1,4865.11,3827.76,0.12,0.88,"",""
"bombusshannondiversity_prop_blueberry",-0.01,0.02,-0.05,0.04,1,5667.85,4466.47,0.38,0.62,"",""
"bombusshannondiversity_prop_edge",0.01,0.02,-0.03,0.05,1,4974.3,3944.23,0.72,0.28,"",""
"impatiensabundance_floral_abundance",0.4,0.06,0.27,0.53,1,4180.39,3558.84,1,0,"***",""
"impatiensabundance_floral_diversity",-0.04,0.06,-0.15,0.07,1,5096.25,4273.13,0.22,0.78,"",""
"impatiensabundance_prop_blueberry",-0.11,0.09,-0.29,0.06,1,2306.9,3354.17,0.1,0.9,"","*"
"impatiensabundance_prop_edge",0.14,0.09,-0.04,0.32,1,2012.29,2926.22,0.94,0.06,"*",""
"impatiensabundance_landscape_shdi",0.01,0.1,-0.17,0.2,1,1818.36,2896.79,0.55,0.45,"",""
"impatiensabundance_julian_date",1.1,0.07,0.97,1.23,1,5569.22,4315.22,1,0,"***",""
"impatiensabundance_Ijulian_dateE2",-0.24,0.08,-0.39,-0.1,1,6119.3,3623.7,0,1,"","***"
"hascrithidia_bombus_shannon_diversity",-0.01,0.29,-0.57,0.55,1,4888.02,3972.11,0.49,0.51,"",""
"hascrithidia_native_bee_abundance",-0.01,0.02,-0.05,0.03,1,5818.42,3414.07,0.33,0.67,"",""
"hascrithidia_statusnonnative",-1.26,0.93,-3.1,0.6,1,2755.26,3108.81,0.08,0.92,"","*"
"hascrithidia_impatiens_abundance",-0.15,0.07,-0.29,-0.01,1,4005.87,3712.17,0.02,0.98,"","***"
"hascrithidia_floral_abundance",-0.03,0.13,-0.28,0.22,1,5124.33,3994.48,0.42,0.58,"",""
"hascrithidia_floral_diversity",-0.03,0.12,-0.25,0.2,1,5073.07,3979.79,0.4,0.6,"",""
"hascrithidia_prop_blueberry",-0.07,0.19,-0.46,0.32,1,3835.14,3543.43,0.36,0.64,"",""
"hascrithidia_julian_date",0.45,0.16,0.15,0.76,1,5854.76,4056.46,1,0,"***",""
"hascrithidia_Ijulian_dateE2",-0.31,0.16,-0.62,-0.01,1,6297.98,3921.6,0.02,0.98,"","***"
"hascrithidia_native_bee_abundance:statusnonnative",0.15,0.08,0,0.3,1,5194.52,3919.4,0.97,0.03,"**",""
"hascrithidia_statusnonnative:impatiens_abundance",0.12,0.1,-0.07,0.32,1,4249.61,3905.04,0.89,0.11,"",""
"hasnosema_bombus_shannon_diversity",0.61,0.59,-0.54,1.8,1,4699.38,3933.76,0.85,0.15,"",""
"hasnosema_native_bee_abundance",0.04,0.03,-0.02,0.1,1,4646.71,3544.59,0.88,0.12,"",""
"hasnosema_statusnonnative",-1.56,1.71,-5.26,1.5,1,3623.1,2812.61,0.17,0.83,"",""
"hasnosema_impatiens_abundance",0.2,0.12,-0.03,0.43,1,3665.61,3751.99,0.96,0.04,"**",""
"hasnosema_floral_abundance",-0.16,0.26,-0.68,0.34,1,3669.12,3755.86,0.27,0.73,"",""
"hasnosema_floral_diversity",0.03,0.25,-0.45,0.53,1,5183.63,3959.68,0.55,0.45,"",""
"hasnosema_prop_blueberry",0.55,0.39,-0.17,1.34,1,4273.81,3961.06,0.93,0.07,"*",""
"hasnosema_julian_date",-0.47,0.33,-1.1,0.16,1,3562.87,3555.5,0.08,0.92,"","*"
"hasnosema_Ijulian_dateE2",0.17,0.32,-0.49,0.77,1,4580.1,3483.85,0.71,0.29,"",""
"hasnosema_native_bee_abundance:statusnonnative",-5.98,6.82,-23.91,-0.51,1,1599.02,880.93,0,1,"","***"
"hasnosema_statusnonnative:impatiens_abundance",0.01,0.32,-0.63,0.65,1,3522.74,3250.05,0.51,0.49,"",""
"apicystis_bombus_shannon_diversity",-0.19,0.34,-0.9,0.48,1,3776.93,3738.78,0.29,0.71,"",""
"apicystis_native_bee_abundance",-0.03,0.03,-0.08,0.02,1,5605.96,3905.32,0.14,0.86,"",""
"apicystis_statusnonnative",0.13,0.45,-0.77,1,1,4670.5,3396.42,0.62,0.38,"",""
"apicystis_impatiens_abundance",-0.05,0.08,-0.21,0.09,1,4084.16,3925.32,0.25,0.75,"",""
"apicystis_floral_abundance",0.09,0.15,-0.21,0.39,1,4309.01,3781.41,0.73,0.27,"",""
"apicystis_floral_diversity",-0.23,0.13,-0.48,0.02,1,5301.28,4208.5,0.04,0.96,"","**"
"apicystis_prop_blueberry",-0.23,0.2,-0.61,0.16,1,5173.35,4390.22,0.12,0.88,"",""
"apicystis_julian_date",0.51,0.18,0.16,0.86,1,5564.36,4150.91,1,0,"***",""
"apicystis_Ijulian_dateE2",-0.36,0.19,-0.74,0.01,1,7562.76,3688.43,0.03,0.97,"","**"
"apicystis_native_bee_abundance:statusnonnative",0,0.08,-0.17,0.15,1,4363.42,3154.89,0.49,0.51,"",""
"apicystis_statusnonnative:impatiens_abundance",-0.02,0.11,-0.22,0.2,1,3851.48,4062.43,0.43,0.57,"",""
"anyparasite_bombus_shannon_diversity",0.1,0.26,-0.41,0.63,1,5209.68,3670.29,0.65,0.35,"",""
"anyparasite_native_bee_abundance",0.01,0.02,-0.03,0.04,1,7087.69,4065.04,0.65,0.35,"",""
"anyparasite_statusnonnative",-0.93,0.55,-2.09,0.12,1,2998.74,2909.53,0.04,0.96,"","**"
"anyparasite_impatiens_abundance",-0.05,0.06,-0.18,0.07,1,3277.95,3390.35,0.21,0.79,"",""
"anyparasite_floral_abundance",-0.02,0.12,-0.26,0.21,1,5327.28,4097.7,0.42,0.58,"",""
"anyparasite_floral_diversity",0.02,0.1,-0.18,0.22,1,5356.74,4062.85,0.59,0.41,"",""
"anyparasite_prop_blueberry",-0.03,0.18,-0.37,0.34,1,3137.41,3582.26,0.44,0.56,"",""
"anyparasite_julian_date",0.43,0.14,0.17,0.71,1,6223.58,3761.4,1,0,"***",""
"anyparasite_Ijulian_dateE2",-0.21,0.14,-0.49,0.06,1,6675.86,3940.93,0.06,0.94,"","*"
"anyparasite_native_bee_abundance:statusnonnative",0.05,0.07,-0.08,0.19,1,5194.6,4071.56,0.75,0.25,"",""
"anyparasite_statusnonnative:impatiens_abundance",0.05,0.09,-0.12,0.21,1,3972.28,4105.48,0.72,0.28,"",""
