"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"floraldiversity_Intercept",0.17,0.05,0.08,0.26,1,1865.74,3128.81,1,0,"***",""
"floralabundance_Intercept",0.14,0.05,0.04,0.24,1,831.83,1945.58,1,0,"***",""
"nativebeeabundance_Intercept",-0.07,0.09,-0.25,0.11,1,2199.55,3160.69,0.21,0.79,"",""
"bombusshannondiversity_Intercept",-0.27,0.03,-0.33,-0.21,1,5548.65,3896.12,0,1,"","***"
"impatiensabundance_Intercept",-0.98,0.1,-1.18,-0.77,1,2688.52,3776.56,0,1,"","***"
"hascrithidia_Intercept",-0.89,0.7,-2.39,0.45,1,2144.66,2735.24,0.08,0.92,"","*"
"hasnosema_Intercept",-2.99,0.85,-4.56,-1.27,1,2670.95,2922.9,0,1,"","***"
"apicystis_Intercept",-1.37,0.36,-2.07,-0.66,1,4030,3628.92,0,1,"","***"
"anyparasite_Intercept",0.06,0.42,-0.79,0.9,1,2620.06,2673.87,0.55,0.45,"",""
"floraldiversity_julian_date",0.15,0.02,0.11,0.2,1,5907.49,4049.79,1,0,"***",""
"floraldiversity_Ijulian_dateE2",-0.2,0.02,-0.25,-0.16,1,6498.62,3314.57,0,1,"","***"
"floralabundance_julian_date",-0.24,0.02,-0.28,-0.2,1,5310.47,3518.5,0,1,"","***"
"floralabundance_Ijulian_dateE2",-0.13,0.02,-0.17,-0.08,1,6315.32,3760.43,0,1,"","***"
"nativebeeabundance_floral_abundance",0.54,0.05,0.44,0.65,1,4143.78,3651.85,1,0,"***",""
"nativebeeabundance_floral_diversity",0.06,0.06,-0.05,0.17,1,4405.55,4242.41,0.85,0.15,"",""
"nativebeeabundance_prop_blueberry",-0.17,0.08,-0.34,-0.01,1,1876.63,2521.13,0.02,0.98,"","***"
"nativebeeabundance_prop_edge",0.15,0.08,-0.02,0.3,1,1756.01,2517.41,0.96,0.04,"**",""
"nativebeeabundance_landscape_shdi",-0.06,0.09,-0.23,0.12,1,1586.82,2679.67,0.26,0.74,"",""
"nativebeeabundance_julian_date",-0.16,0.05,-0.26,-0.06,1,5013.24,4167.54,0,1,"","***"
"nativebeeabundance_Ijulian_dateE2",-0.42,0.05,-0.54,-0.32,1,5948.99,3401.62,0,1,"","***"
"bombusshannondiversity_floral_diversity",-0.01,0.02,-0.05,0.03,1,4940.53,3714.37,0.33,0.67,"",""
"bombusshannondiversity_floral_abundance",0.04,0.02,0,0.08,1,3058.96,3495.53,0.95,0.05,"**",""
"bombusshannondiversity_julian_date",-0.04,0.02,-0.08,0,1,5367.19,3982.51,0.04,0.96,"","**"
"bombusshannondiversity_Ijulian_dateE2",-0.08,0.03,-0.13,-0.03,1,5780.28,4012.03,0,1,"","***"
"bombusshannondiversity_landscape_shdi",-0.03,0.02,-0.07,0.02,1,3504.31,3662.07,0.11,0.89,"",""
"bombusshannondiversity_prop_blueberry",-0.01,0.02,-0.05,0.04,1,4825.19,3736.87,0.38,0.62,"",""
"bombusshannondiversity_prop_edge",0.01,0.02,-0.03,0.06,1,3538.14,3683.24,0.72,0.28,"",""
"impatiensabundance_floral_abundance",0.4,0.06,0.28,0.53,1,3759.99,3318.09,1,0,"***",""
"impatiensabundance_floral_diversity",-0.05,0.06,-0.16,0.07,1,3958.17,3868.25,0.21,0.79,"",""
"impatiensabundance_prop_blueberry",-0.11,0.09,-0.28,0.06,1,1782.55,3004.77,0.1,0.9,"","*"
"impatiensabundance_prop_edge",0.14,0.09,-0.04,0.32,1,1609.36,2363.85,0.94,0.06,"*",""
