"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"floraldiversity_Intercept",0.17,0.05,0.08,0.26,1,1561.05,2474.59,1,0,"***",""
"floralabundance_Intercept",0.14,0.05,0.04,0.24,1,892.61,1917.41,1,0,"***",""
"nativebeeabundance_Intercept",-0.08,0.09,-0.26,0.1,1,2317.25,3369.54,0.2,0.8,"",""
"bombusshannondiversity_Intercept",-0.27,0.03,-0.33,-0.21,1,4768.96,4173.43,0,1,"","***"
"impatiensabundance_Intercept",-0.98,0.11,-1.19,-0.78,1,2407.78,3190.63,0,1,"","***"
"hascrithidia_Intercept",-0.89,0.73,-2.4,0.55,1,2005.57,2660.92,0.1,0.9,"","*"
"hasnosema_Intercept",-3.08,0.79,-4.64,-1.5,1,2254.95,3129.12,0,1,"","***"
"apicystis_Intercept",-1.37,0.37,-2.1,-0.65,1,3794.07,3549.44,0,1,"","***"
"floraldiversity_julian_date",0.16,0.02,0.12,0.2,1,5281.94,3650.88,1,0,"***",""
"floraldiversity_Ijulian_dateE2",-0.21,0.02,-0.25,-0.16,1,5219.24,3732.29,0,1,"","***"
"floralabundance_julian_date",-0.24,0.02,-0.28,-0.2,1,5382.74,4208.07,0,1,"","***"
"floralabundance_Ijulian_dateE2",-0.12,0.02,-0.17,-0.08,1,5101.82,3737.94,0,1,"","***"
"nativebeeabundance_floral_abundance",0.54,0.05,0.44,0.65,1,3686.72,3772.22,1,0,"***",""
"nativebeeabundance_floral_diversity",0.07,0.05,-0.03,0.17,1,3846.66,3892.01,0.9,0.1,"*",""
"nativebeeabundance_prop_blueberry",-0.16,0.08,-0.32,-0.01,1,1738.95,3187.28,0.02,0.98,"","***"
"nativebeeabundance_prop_edge",0.14,0.08,-0.02,0.31,1,1438.21,2713.36,0.96,0.04,"**",""
"nativebeeabundance_landscape_shdi",-0.05,0.09,-0.22,0.13,1,1532.22,2627.05,0.29,0.71,"",""
"nativebeeabundance_julian_date",-0.15,0.05,-0.26,-0.05,1,4741.23,3737.81,0,1,"","***"
"nativebeeabundance_Ijulian_dateE2",-0.43,0.05,-0.54,-0.32,1,5540.85,4266.66,0,1,"","***"
"bombusshannondiversity_floral_abundance",0.04,0.02,0,0.08,1,3198.61,3626.19,0.96,0.04,"**",""
"bombusshannondiversity_floral_diversity",-0.01,0.02,-0.05,0.03,1,4278.92,3947.9,0.31,0.69,"",""
"bombusshannondiversity_julian_date",-0.04,0.02,-0.08,0,1,4642.28,3667.8,0.03,0.97,"","**"
"bombusshannondiversity_Ijulian_dateE2",-0.08,0.03,-0.13,-0.03,1,5672.97,3392.63,0,1,"","***"
"bombusshannondiversity_landscape_shdi",-0.03,0.02,-0.07,0.02,1,3275.78,3452.39,0.11,0.89,"",""
"bombusshannondiversity_prop_edge",0.01,0.02,-0.03,0.06,1,3396.75,3832.2,0.73,0.27,"",""
"bombusshannondiversity_prop_blueberry",-0.01,0.02,-0.05,0.04,1,3876.34,3532.79,0.39,0.61,"",""
"impatiensabundance_floral_abundance",0.4,0.06,0.28,0.53,1,3443.39,3299.18,1,0,"***",""
"impatiensabundance_floral_diversity",-0.04,0.06,-0.15,0.07,1,3522.07,3452.26,0.24,0.76,"",""
"impatiensabundance_prop_blueberry",-0.11,0.09,-0.28,0.05,1,1745.71,2905.49,0.1,0.9,"","*"
"impatiensabundance_prop_edge",0.14,0.09,-0.04,0.31,1,1793.56,3105.8,0.94,0.06,"*",""
"impatiensabundance_landscape_shdi",0.01,0.09,-0.17,0.2,1,1549.75,2843.26,0.56,0.44,"",""
"impatiensabundance_julian_date",1.1,0.07,0.97,1.24,1,4459.78,3601.87,1,0,"***",""
"impatiensabundance_Ijulian_dateE2",-0.24,0.08,-0.4,-0.1,1,5438.18,3764.97,0,1,"","***"
"hascrithidia_bombus_shannon_diversity",0.24,0.25,-0.25,0.74,1,4532,3934.98,0.82,0.18,"",""
"hascrithidia_native_bee_abundance",0,0.02,-0.04,0.04,1,3791.58,3926.86,0.46,0.54,"",""
"hascrithidia_impatiens_abundance",-0.17,0.07,-0.32,-0.04,1,2660.78,2975.94,0.01,0.99,"","***"
"hascrithidia_statusnonnative",-1.01,0.95,-2.94,0.82,1,1808.75,1939.48,0.13,0.87,"",""
"hascrithidia_floral_abundance",-0.03,0.14,-0.3,0.24,1,3252.76,3682.1,0.4,0.6,"",""
"hascrithidia_floral_diversity",-0.01,0.11,-0.23,0.21,1,3980.13,4265.08,0.46,0.54,"",""
"hascrithidia_prop_blueberry",-0.1,0.19,-0.47,0.26,1,3058.48,3645.05,0.29,0.71,"",""
"hascrithidia_julian_date",0.41,0.15,0.12,0.71,1,3928.6,3447.29,0.99,0.01,"***",""
"hascrithidia_Ijulian_dateE2",-0.31,0.16,-0.63,-0.01,1,5308.42,3557.78,0.02,0.98,"","***"
"hascrithidia_impatiens_abundance:statusnonnative",0.19,0.09,0.01,0.37,1,2891.34,3624.95,0.98,0.02,"***",""
"hasnosema_bombus_shannon_diversity",0.17,0.47,-0.72,1.08,1,4088.43,3556.59,0.63,0.37,"",""
"hasnosema_native_bee_abundance",0.04,0.03,-0.02,0.09,1,3914.99,3796.19,0.9,0.1,"*",""
"hasnosema_impatiens_abundance",0.24,0.11,0.02,0.46,1,3213.22,3582.13,0.98,0.02,"***",""
"hasnosema_statusnonnative",-0.83,0.78,-2.33,0.71,1,4232.38,3729.28,0.15,0.85,"",""
"hasnosema_floral_abundance",-0.16,0.24,-0.63,0.31,1,3251.98,3850.49,0.25,0.75,"",""
"hasnosema_floral_diversity",0,0.23,-0.45,0.46,1,4324.9,3517.57,0.49,0.51,"",""
"hasnosema_prop_blueberry",0.46,0.34,-0.22,1.16,1,3638.77,3809.69,0.91,0.09,"*",""
"hasnosema_julian_date",-0.41,0.3,-0.99,0.17,1,3510.82,3828.52,0.09,0.91,"","*"
"hasnosema_Ijulian_dateE2",0.18,0.28,-0.4,0.73,1,3702.86,3500.88,0.75,0.25,"",""
"hasnosema_impatiens_abundance:statusnonnative",-0.33,0.23,-0.81,0.09,1,3596,2837.76,0.07,0.93,"","*"
"apicystis_bombus_shannon_diversity",-0.19,0.31,-0.8,0.42,1,3975.49,3710.94,0.27,0.73,"",""
"apicystis_native_bee_abundance",-0.03,0.03,-0.08,0.02,1,3969.1,3067.09,0.14,0.86,"",""
"apicystis_impatiens_abundance",-0.06,0.07,-0.2,0.08,1,3237.64,3635.9,0.22,0.78,"",""
"apicystis_statusnonnative",0.11,0.47,-0.75,0.97,1,2679.41,2750.25,0.6,0.4,"",""
"apicystis_floral_abundance",0.1,0.16,-0.21,0.4,1,3380.65,3095.78,0.75,0.25,"",""
"apicystis_floral_diversity",-0.22,0.13,-0.49,0.03,1,4373.13,3418.18,0.05,0.95,"","**"
"apicystis_prop_blueberry",-0.22,0.2,-0.61,0.17,1,3638.76,3376.99,0.13,0.87,"",""
"apicystis_julian_date",0.52,0.18,0.17,0.88,1,4177.87,3853.51,1,0,"***",""
"apicystis_Ijulian_dateE2",-0.35,0.2,-0.75,0.03,1,5166.75,3698.73,0.04,0.96,"","**"
"apicystis_impatiens_abundance:statusnonnative",-0.01,0.1,-0.21,0.18,1,2883.49,3340.97,0.45,0.55,"",""
