"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"floraldiversity_Intercept",0.17,0.05,0.08,0.26,1,2250.96,3341.71,1,0,"***",""
"floralabundance_Intercept",0.14,0.05,0.04,0.24,1,1397.64,2425.82,1,0,"***",""
"nativebeeabundance_Intercept",-0.08,0.09,-0.26,0.1,1,3310.05,3953.84,0.18,0.82,"",""
"bombusshannondiversity_Intercept",-0.27,0.03,-0.33,-0.21,1,8469.49,4389.64,0,1,"","***"
"impatiensabundance_Intercept",-0.98,0.1,-1.18,-0.78,1,3586.46,3787.47,0,1,"","***"
"hascrithidia_Intercept",-0.69,0.71,-2.17,0.64,1,3121.27,3114.37,0.15,0.85,"",""
"hasnosema_Intercept",-3.23,0.79,-4.75,-1.62,1,3813.37,3671.84,0,1,"","***"
"apicystis_Intercept",-1.38,0.37,-2.11,-0.64,1,4948.66,4320.21,0,1,"","***"
"floraldiversity_julian_date",0.16,0.02,0.12,0.2,1,8656.5,4149.36,1,0,"***",""
"floraldiversity_Ijulian_dateE2",-0.21,0.02,-0.25,-0.16,1,8911.87,4032.01,0,1,"","***"
"floralabundance_julian_date",-0.24,0.02,-0.28,-0.2,1,8278.95,3777.19,0,1,"","***"
"floralabundance_Ijulian_dateE2",-0.12,0.02,-0.17,-0.08,1,9065.49,3930.53,0,1,"","***"
"nativebeeabundance_floral_abundance",0.55,0.05,0.44,0.65,1,5928.6,4299.76,1,0,"***",""
"nativebeeabundance_floral_diversity",0.07,0.05,-0.04,0.17,1,5817.19,4667.05,0.9,0.1,"*",""
"nativebeeabundance_prop_blueberry",-0.16,0.08,-0.32,0,1,2681.85,3325.5,0.02,0.98,"","***"
"nativebeeabundance_prop_edge",0.14,0.09,-0.02,0.32,1,2668.24,3156.16,0.96,0.04,"**",""
"nativebeeabundance_landscape_shdi",-0.05,0.09,-0.22,0.13,1,2410.64,3263.04,0.3,0.7,"",""
"nativebeeabundance_julian_date",-0.15,0.05,-0.25,-0.05,1,7666.91,4022.51,0,1,"","***"
"nativebeeabundance_Ijulian_dateE2",-0.43,0.05,-0.53,-0.32,1,8318.75,3987.83,0,1,"","***"
"bombusshannondiversity_floral_abundance",0.04,0.02,0,0.08,1,5650.19,4214.15,0.96,0.04,"**",""
"bombusshannondiversity_floral_diversity",-0.01,0.02,-0.05,0.03,1,8034.94,4294.5,0.32,0.68,"",""
"bombusshannondiversity_julian_date",-0.04,0.02,-0.08,0,1,8068.03,3916.98,0.03,0.97,"","**"
"bombusshannondiversity_Ijulian_dateE2",-0.08,0.03,-0.13,-0.03,1,9724.01,4169.46,0,1,"","***"
"bombusshannondiversity_landscape_shdi",-0.03,0.02,-0.07,0.02,1,5418.49,4401.48,0.12,0.88,"",""
"bombusshannondiversity_prop_edge",0.01,0.02,-0.03,0.05,1,4944.13,4228.79,0.73,0.27,"",""
"bombusshannondiversity_prop_blueberry",-0.01,0.02,-0.05,0.04,1,6922.85,4131.43,0.38,0.62,"",""
"impatiensabundance_floral_abundance",0.4,0.06,0.28,0.53,1,5585.38,4301.47,1,0,"***",""
"impatiensabundance_floral_diversity",-0.04,0.06,-0.15,0.07,1,5352.89,4547.88,0.24,0.76,"",""
"impatiensabundance_prop_blueberry",-0.11,0.09,-0.29,0.06,1,3129.5,3642.61,0.1,0.9,"","*"
"impatiensabundance_prop_edge",0.14,0.09,-0.04,0.32,1,2536.28,3373.53,0.94,0.06,"*",""
"impatiensabundance_landscape_shdi",0.01,0.09,-0.17,0.19,1,2834.68,3543,0.56,0.44,"",""
"impatiensabundance_julian_date",1.1,0.07,0.97,1.24,1,7073.54,4013.36,1,0,"***",""
"impatiensabundance_Ijulian_dateE2",-0.24,0.07,-0.39,-0.1,1,8410.87,3867.4,0,1,"","***"
"hascrithidia_bombus_shannon_diversity",-0.12,0.28,-0.65,0.44,1,7786.32,4019.87,0.33,0.67,"",""
"hascrithidia_native_bee_abundance",-0.01,0.02,-0.05,0.03,1,6374.44,3590.46,0.36,0.64,"",""
"hascrithidia_statusnonnative",-1.02,0.92,-2.79,0.84,1,3426.11,3024.54,0.11,0.89,"",""
"hascrithidia_impatiens_abundance",-0.09,0.05,-0.19,0.01,1,7949.12,4109.03,0.04,0.96,"","**"
"hascrithidia_floral_abundance",-0.03,0.14,-0.3,0.23,1,6183.12,3910.6,0.42,0.58,"",""
"hascrithidia_floral_diversity",-0.03,0.12,-0.26,0.2,1,7149.97,3986.4,0.39,0.61,"",""
