"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"floraldiversity_Intercept",0.17,0.05,0.08,0.26,1,1861.89,2605.92,1,0,"***",""
"floralabundance_Intercept",0.14,0.05,0.04,0.24,1,972.76,2026.41,1,0,"***",""
"nativebeeabundance_Intercept",-0.07,0.09,-0.26,0.11,1,2545.11,3627.73,0.21,0.79,"",""
"bombusshannondiversity_Intercept",-0.27,0.03,-0.33,-0.21,1,5544.27,4014.39,0,1,"","***"
"impatiensabundance_Intercept",-0.97,0.1,-1.18,-0.78,1,3169.49,3635.32,0,1,"","***"
"hascrithidia_Intercept",-0.93,0.71,-2.37,0.44,1,2128.61,3127.78,0.09,0.91,"","*"
"hasnosema_Intercept",-3.08,0.84,-4.67,-1.3,1,2406.05,2844.31,0,1,"","***"
"apicystis_Intercept",-1.37,0.36,-2.07,-0.68,1,4811.8,4013.1,0,1,"","***"
"anyparasite_Intercept",0.05,0.41,-0.75,0.88,1,2990.96,2985.29,0.54,0.46,"",""
"floraldiversity_julian_date",0.15,0.02,0.11,0.2,1,8629.79,4012.03,1,0,"***",""
"floraldiversity_Ijulian_dateE2",-0.2,0.02,-0.25,-0.16,1,7938.93,3574.32,0,1,"","***"
"floralabundance_julian_date",-0.24,0.02,-0.28,-0.2,1,6573.78,3599.34,0,1,"","***"
"floralabundance_Ijulian_dateE2",-0.13,0.02,-0.17,-0.08,1,6367.23,4040.39,0,1,"","***"
"nativebeeabundance_floral_abundance",0.54,0.06,0.44,0.65,1,3519.73,3393.39,1,0,"***",""
"nativebeeabundance_floral_diversity",0.06,0.06,-0.05,0.16,1,3853.62,4040.8,0.85,0.15,"",""
"nativebeeabundance_prop_blueberry",-0.17,0.08,-0.33,-0.01,1,2220.35,3366.65,0.02,0.98,"","***"
"nativebeeabundance_prop_edge",0.15,0.08,-0.01,0.31,1,1862.03,2619.17,0.96,0.04,"**",""
"nativebeeabundance_landscape_shdi",-0.05,0.09,-0.22,0.12,1,1630.44,2460.96,0.26,0.74,"",""
"nativebeeabundance_julian_date",-0.16,0.05,-0.26,-0.05,1,6302.43,3636.63,0,1,"","***"
"nativebeeabundance_Ijulian_dateE2",-0.42,0.06,-0.53,-0.32,1,5658.21,4212.66,0,1,"","***"
"bombusshannondiversity_floral_diversity",-0.01,0.02,-0.05,0.03,1,4345.57,3903.17,0.32,0.68,"",""
"bombusshannondiversity_floral_abundance",0.04,0.02,-0.01,0.08,1,3673.15,3636,0.96,0.04,"**",""
"bombusshannondiversity_julian_date",-0.04,0.02,-0.08,0,1,6175.89,3703.54,0.03,0.97,"","**"
"bombusshannondiversity_Ijulian_dateE2",-0.08,0.03,-0.13,-0.03,1,6555.21,3328.16,0,1,"","***"
"bombusshannondiversity_landscape_shdi",-0.03,0.02,-0.07,0.02,1,4258.85,4075.72,0.12,0.88,"",""
"bombusshannondiversity_prop_blueberry",-0.01,0.02,-0.05,0.04,1,5390.28,4303.79,0.39,0.61,"",""
"bombusshannondiversity_prop_edge",0.01,0.02,-0.03,0.06,1,4591.39,3805.76,0.72,0.28,"",""
"impatiensabundance_floral_abundance",0.4,0.06,0.28,0.53,1,3362.89,3515.66,1,0,"***",""
"impatiensabundance_floral_diversity",-0.05,0.06,-0.15,0.06,1,3924.92,3477.92,0.21,0.79,"",""
"impatiensabundance_prop_blueberry",-0.11,0.09,-0.29,0.05,1,2176.25,3163.17,0.09,0.91,"","*"
"impatiensabundance_prop_edge",0.14,0.09,-0.03,0.31,1,1728.38,2989.31,0.95,0.05,"**",""
"impatiensabundance_landscape_shdi",0.01,0.09,-0.17,0.19,1,1730.55,2791.65,0.55,0.45,"",""
"impatiensabundance_julian_date",1.1,0.07,0.96,1.23,1,5292.92,4124.07,1,0,"***",""
"impatiensabundance_Ijulian_dateE2",-0.24,0.07,-0.38,-0.1,1,6576.99,4136.83,0,1,"","***"
"hascrithidia_bombus_shannon_diversity",0.15,0.26,-0.37,0.65,1,5560.56,3730.17,0.72,0.28,"",""
"hascrithidia_native_bee_abundance",0,0.02,-0.04,0.04,1,5513.92,3707.55,0.53,0.47,"",""
"hascrithidia_impatiens_abundance",-0.08,0.05,-0.18,0.02,1,5618.24,3632.33,0.06,0.94,"","*"
"hascrithidia_statusnonnative",-0.49,0.95,-2.31,1.45,1,2040.5,2320.9,0.26,0.74,"",""
"hascrithidia_floral_abundance",-0.03,0.13,-0.29,0.22,1,3867.88,4040.91,0.4,0.6,"",""
"hascrithidia_floral_diversity",-0.02,0.11,-0.24,0.21,1,5245.29,3994.69,0.43,0.57,"",""
"hascrithidia_prop_blueberry",-0.08,0.19,-0.45,0.3,1,3607.83,3464.93,0.33,0.67,"",""
"hascrithidia_julian_date",0.36,0.15,0.06,0.66,1,4932.32,3958.54,0.99,0.01,"***",""
"hascrithidia_Ijulian_dateE2",-0.32,0.16,-0.64,-0.01,1,5921.73,3693.7,0.02,0.98,"","***"
"hasnosema_bombus_shannon_diversity",0.24,0.47,-0.68,1.16,1,4855.17,3585.87,0.7,0.3,"",""
"hasnosema_native_bee_abundance",0.04,0.03,-0.02,0.09,1,5085.71,3900.82,0.89,0.11,"",""
"hasnosema_impatiens_abundance",0.18,0.1,-0.02,0.38,1,3084.26,3203.23,0.96,0.04,"**",""
"hasnosema_statusnonnative",-1.43,0.76,-2.83,0.18,1,3152.48,3490.07,0.04,0.96,"","**"
"hasnosema_floral_abundance",-0.15,0.24,-0.63,0.33,1,3790.42,3832.03,0.27,0.73,"",""
"hasnosema_floral_diversity",0,0.23,-0.45,0.45,1,5363.32,3488.76,0.5,0.5,"",""
"hasnosema_prop_blueberry",0.43,0.34,-0.22,1.1,1,4424.27,3632.61,0.91,0.09,"*",""
"hasnosema_julian_date",-0.38,0.29,-0.97,0.17,1,5014.86,3599.86,0.1,0.9,"","*"
"hasnosema_Ijulian_dateE2",0.19,0.28,-0.39,0.72,1,5730.31,3352.89,0.75,0.25,"",""
"apicystis_bombus_shannon_diversity",-0.18,0.31,-0.81,0.41,1,4498.34,3856.24,0.29,0.71,"",""
"apicystis_native_bee_abundance",-0.03,0.03,-0.08,0.02,1,5798.01,4277.04,0.13,0.87,"",""
"apicystis_impatiens_abundance",-0.06,0.06,-0.18,0.05,1,5225.64,3794.45,0.14,0.86,"",""
"apicystis_statusnonnative",0.07,0.35,-0.62,0.73,1,3928.23,3561.71,0.59,0.41,"",""
"apicystis_floral_abundance",0.09,0.15,-0.22,0.38,1,3596.85,3433.33,0.74,0.26,"",""
"apicystis_floral_diversity",-0.22,0.13,-0.49,0.03,1,4598.26,3777.41,0.05,0.95,"","**"
"apicystis_prop_blueberry",-0.22,0.2,-0.61,0.16,1,4230.77,3730.75,0.13,0.87,"",""
"apicystis_julian_date",0.52,0.17,0.19,0.86,1,5371.57,3952.03,1,0,"***",""
"apicystis_Ijulian_dateE2",-0.36,0.19,-0.75,0.01,1,5741.36,4160.83,0.03,0.97,"","**"
"anyparasite_bombus_shannon_diversity",0.15,0.23,-0.29,0.61,1,5389.15,3723.74,0.75,0.25,"",""
"anyparasite_native_bee_abundance",0.01,0.02,-0.03,0.04,1,5820.68,3668.66,0.7,0.3,"",""
"anyparasite_impatiens_abundance",-0.02,0.05,-0.12,0.06,1,6086.78,3490.71,0.29,0.71,"",""
"anyparasite_statusnonnative",-0.67,0.47,-1.65,0.19,1,2615.95,2547.08,0.06,0.94,"","*"
"anyparasite_floral_abundance",-0.03,0.12,-0.26,0.2,1,4667.4,4130.44,0.42,0.58,"",""
"anyparasite_floral_diversity",0.02,0.1,-0.18,0.23,1,5985.62,4386.26,0.59,0.41,"",""
"anyparasite_prop_blueberry",-0.03,0.18,-0.38,0.32,1,3133.38,3539.82,0.43,0.57,"",""
"anyparasite_julian_date",0.4,0.13,0.14,0.67,1,5654.08,4328.38,1,0,"***",""
"anyparasite_Ijulian_dateE2",-0.22,0.14,-0.49,0.05,1,6995.95,3775.79,0.05,0.95,"","**"
