"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"floraldiversity_Intercept",0.16,0.05,0.07,0.25,1,1356.61,2215.64,1,0,"***",""
"floralabundance_Intercept",0.14,0.05,0.04,0.23,1,631.96,2004.5,1,0,"***",""
"nativebeeabundance_Intercept",-0.08,0.09,-0.27,0.1,1,2010.85,3096.37,0.2,0.8,"",""
"bombusshannondiversity_Intercept",-0.27,0.03,-0.33,-0.21,1,5005.99,3834.62,0,1,"","***"
"impatiensabundance_Intercept",-0.98,0.1,-1.18,-0.78,1,2166.77,2885.65,0,1,"","***"
"hascrithidia_Intercept",-0.97,0.69,-2.41,0.37,1,1691.62,2056.68,0.07,0.93,"","*"
"hasnosema_Intercept",-3.03,0.83,-4.7,-1.31,1,2014.7,2367.39,0,1,"","***"
"apicystis_Intercept",-1.36,0.36,-2.07,-0.66,1,3649.71,3448.65,0,1,"","***"
"anyparasite_Intercept",0.03,0.41,-0.78,0.86,1,2378.19,2836.91,0.53,0.47,"",""
"floraldiversity_julian_date",0.16,0.02,0.12,0.2,1,4987.62,3955.79,1,0,"***",""
"floraldiversity_Ijulian_dateE2",-0.21,0.02,-0.25,-0.16,1,4986.94,3810.89,0,1,"","***"
"floralabundance_julian_date",-0.24,0.02,-0.28,-0.2,1,4121.13,3588.45,0,1,"","***"
"floralabundance_Ijulian_dateE2",-0.12,0.02,-0.17,-0.08,1,4573.56,4083.07,0,1,"","***"
"nativebeeabundance_floral_abundance",0.54,0.05,0.44,0.65,1,3525.19,3759.06,1,0,"***",""
"nativebeeabundance_floral_diversity",0.07,0.06,-0.04,0.18,1,3625.18,3789.52,0.89,0.11,"",""
"nativebeeabundance_prop_blueberry",-0.17,0.08,-0.32,-0.01,1,1789.19,2357.5,0.02,0.98,"","***"
"nativebeeabundance_prop_edge",0.14,0.09,-0.03,0.31,1,1474.82,2615.72,0.95,0.05,"**",""
"nativebeeabundance_landscape_shdi",-0.05,0.09,-0.23,0.12,1,1379.27,2094.9,0.27,0.73,"",""
"nativebeeabundance_julian_date",-0.15,0.05,-0.26,-0.05,1,4429.6,3381.57,0,1,"","***"
"nativebeeabundance_Ijulian_dateE2",-0.43,0.05,-0.54,-0.32,1,4615.53,4001.78,0,1,"","***"
"bombusshannondiversity_floral_diversity",-0.01,0.02,-0.05,0.03,1,3679.08,3441.51,0.33,0.67,"",""
"bombusshannondiversity_floral_abundance",0.04,0.02,0,0.08,1,2868.5,3628.5,0.97,0.03,"**",""
"bombusshannondiversity_julian_date",-0.04,0.02,-0.08,0,1,4616.22,3656.82,0.03,0.97,"","**"
"bombusshannondiversity_Ijulian_dateE2",-0.08,0.03,-0.13,-0.03,1,5300.28,3710.36,0,1,"","***"
"bombusshannondiversity_landscape_shdi",-0.03,0.02,-0.07,0.02,1,2947.88,3483.72,0.12,0.88,"",""
"bombusshannondiversity_prop_blueberry",-0.01,0.02,-0.05,0.04,1,3767.41,3377.22,0.39,0.61,"",""
"bombusshannondiversity_prop_edge",0.01,0.02,-0.03,0.05,1,2718.46,3572.28,0.72,0.28,"",""
"impatiensabundance_floral_abundance",0.4,0.06,0.27,0.53,1,3013.17,3779.08,1,0,"***",""
"impatiensabundance_floral_diversity",-0.04,0.06,-0.15,0.07,1,3342.16,3825.45,0.23,0.77,"",""
"impatiensabundance_prop_blueberry",-0.11,0.09,-0.28,0.07,1,1563.16,2984.38,0.11,0.89,"",""
"impatiensabundance_prop_edge",0.14,0.09,-0.04,0.32,1,1392.95,2630.91,0.94,0.06,"*",""
"impatiensabundance_landscape_shdi",0.02,0.09,-0.16,0.2,1,1289.39,1945.82,0.58,0.42,"",""
"impatiensabundance_julian_date",1.1,0.07,0.97,1.24,1,3723.26,3683.54,1,0,"***",""
"impatiensabundance_Ijulian_dateE2",-0.25,0.07,-0.39,-0.1,1,4431.31,3535.82,0,1,"","***"
