"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"floraldiversity_Intercept",0.17,0.05,0.08,0.26,1,1752.11,2677.95,1,0,"***",""
"floralabundance_Intercept",0.14,0.05,0.04,0.24,1,977.5,1593.35,1,0,"***",""
"nativebeeabundance_Intercept",-0.07,0.09,-0.26,0.11,1,2127.05,2895.57,0.21,0.79,"",""
"bombusshannondiversity_Intercept",-0.27,0.03,-0.33,-0.21,1,5768.49,3880.63,0,1,"","***"
"impatiensabundance_Intercept",-0.97,0.1,-1.18,-0.78,1,2559.99,3486.27,0,1,"","***"
"hascrithidia_Intercept",-0.7,0.74,-2.21,0.76,1,1846.35,2411.76,0.15,0.85,"",""
"hasnosema_Intercept",-3.19,0.78,-4.66,-1.57,1,2322.76,3669.43,0,1,"","***"
"apicystis_Intercept",-1.37,0.38,-2.13,-0.64,1,3948.84,3893.53,0,1,"","***"
"anyparasite_Intercept",0.13,0.44,-0.73,1.03,1,2374.44,2937.17,0.62,0.38,"",""
"floraldiversity_julian_date",0.15,0.02,0.11,0.2,1,6252.85,4163.54,1,0,"***",""
"floraldiversity_Ijulian_dateE2",-0.2,0.02,-0.25,-0.16,1,6307.26,3907.85,0,1,"","***"
"floralabundance_julian_date",-0.24,0.02,-0.28,-0.2,1,6353.19,4130.19,0,1,"","***"
"floralabundance_Ijulian_dateE2",-0.13,0.02,-0.17,-0.08,1,6405.11,4270.72,0,1,"","***"
"nativebeeabundance_floral_abundance",0.54,0.05,0.43,0.65,1,3934.69,3889.69,1,0,"***",""
"nativebeeabundance_floral_diversity",0.06,0.05,-0.05,0.17,1,3661.98,3698.78,0.86,0.14,"",""
"nativebeeabundance_prop_blueberry",-0.17,0.08,-0.33,-0.01,1,1990.47,2725.19,0.02,0.98,"","***"
"nativebeeabundance_prop_edge",0.15,0.08,-0.02,0.31,1,1836.33,3144.02,0.96,0.04,"**",""
"nativebeeabundance_landscape_shdi",-0.06,0.09,-0.23,0.12,1,1620.84,2749.89,0.26,0.74,"",""
"nativebeeabundance_julian_date",-0.16,0.05,-0.26,-0.06,1,5289.93,4046.95,0,1,"","***"
"nativebeeabundance_Ijulian_dateE2",-0.42,0.05,-0.53,-0.32,1,5172.98,3882.31,0,1,"","***"
"bombusshannondiversity_floral_diversity",-0.01,0.02,-0.05,0.03,1,4827.69,3983.63,0.33,0.67,"",""
"bombusshannondiversity_floral_abundance",0.04,0.02,0,0.08,1,4037.23,4204.13,0.97,0.03,"**",""
"bombusshannondiversity_julian_date",-0.04,0.02,-0.08,0,1,5361.22,3952.42,0.03,0.97,"","**"
"bombusshannondiversity_Ijulian_dateE2",-0.08,0.03,-0.13,-0.03,1,5599.92,4009.31,0,1,"","***"
"bombusshannondiversity_landscape_shdi",-0.03,0.02,-0.07,0.02,1,3364.96,3865.68,0.12,0.88,"",""
"bombusshannondiversity_prop_blueberry",-0.01,0.02,-0.05,0.04,1,4896.66,4039.46,0.37,0.63,"",""
"bombusshannondiversity_prop_edge",0.01,0.02,-0.03,0.05,1,3470.4,3841.71,0.73,0.27,"",""
"impatiensabundance_floral_abundance",0.4,0.06,0.28,0.53,1,3137.84,3641.57,1,0,"***",""
"impatiensabundance_floral_diversity",-0.05,0.06,-0.16,0.07,1,3721.47,3921.36,0.21,0.79,"",""
