"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"hascrithidia_Intercept",-1.74,1.04,-3.83,0.3,1,10676.53,12231.04,0.04,0.96,"","*"
"hasnosema_Intercept",-2.94,1.22,-5.24,-0.44,1,13082.85,15384.56,0.01,0.99,"","***"
"apicystis_Intercept",-1.94,0.72,-3.39,-0.57,1,19113.19,14598.31,0,1,"","***"
"hascrithidia_floral_abundance",-0.04,0.13,-0.31,0.22,1,18780.09,15715.1,0.38,0.62,"",""
"hascrithidia_floral_diversity",-0.06,0.12,-0.29,0.18,1,19326.45,14045.09,0.31,0.69,"",""
"hascrithidia_bombus_richness",0.01,0.12,-0.24,0.24,1,18422.14,15117.3,0.53,0.47,"",""
"hascrithidia_native_bee_abundance",-0.01,0.02,-0.05,0.03,1,19736.84,15241.7,0.41,0.59,"",""
"hascrithidia_statusnonnative",-1.34,0.97,-3.23,0.64,1,9770.9,10671.82,0.07,0.93,"",""
"hascrithidia_impatiens_abundance",-0.16,0.07,-0.3,-0.02,1,14310.6,13892.09,0.01,0.99,"","***"
"hascrithidia_prop_blueberry_500",-0.09,0.2,-0.49,0.31,1,15530.15,15053.91,0.32,0.68,"",""
"hascrithidia_prop_edge_500",-0.19,0.15,-0.48,0.1,1,14731.55,14929.73,0.1,0.9,"",""
"hascrithidia_landscape_shdi_500",0.14,0.16,-0.19,0.45,1,13607.09,14545.36,0.81,0.19,"",""
"hascrithidia_casteworker",1.3,0.46,0.43,2.23,1,23432.25,15525.42,1,0,"***",""
"hascrithidia_julian_date",0.4,0.16,0.09,0.72,1,20765.35,15395.57,0.99,0.01,"***",""
"hascrithidia_Ijulian_dateE2",-0.37,0.16,-0.7,-0.06,1,23642.68,15138.52,0.01,0.99,"","***"
"hascrithidia_native_bee_abundance:statusnonnative",0.16,0.08,0.01,0.3,1,19110.07,15211.34,0.98,0.02,"**",""
"hascrithidia_statusnonnative:impatiens_abundance",0.13,0.1,-0.06,0.32,1,16392.75,15466.12,0.91,0.09,"",""
"hasnosema_floral_abundance",-0.17,0.27,-0.72,0.36,1,14123.14,14180.79,0.26,0.74,"",""
"hasnosema_floral_diversity",0.03,0.25,-0.46,0.52,1,18614.89,15224.93,0.55,0.45,"",""
"hasnosema_bombus_richness",0.27,0.24,-0.19,0.74,1,14117.67,14684.23,0.88,0.12,"",""
"hasnosema_native_bee_abundance",0.02,0.03,-0.04,0.09,1,20408.26,15897.47,0.78,0.22,"",""
"hasnosema_statusnonnative",-1.73,1.71,-5.44,1.3,1,15502.31,11968.47,0.14,0.86,"",""
"hasnosema_impatiens_abundance",0.21,0.13,-0.04,0.46,1,12519.81,14083.57,0.95,0.05,"*",""
"hasnosema_prop_blueberry_500",0.58,0.41,-0.2,1.44,1,14824.65,13114.6,0.93,0.07,"",""
"hasnosema_prop_edge_500",0.04,0.31,-0.54,0.67,1,11240.95,11608.6,0.55,0.45,"",""
"hasnosema_landscape_shdi_500",0.16,0.37,-0.57,0.9,1,12450.98,13339.11,0.68,0.32,"",""
"hasnosema_casteworker",-0.79,0.57,-1.87,0.35,1,25734.05,15670.08,0.08,0.92,"",""
"hasnosema_julian_date",-0.4,0.34,-1.09,0.26,1,16299.39,14153.22,0.12,0.88,"",""
"hasnosema_Ijulian_dateE2",0.2,0.32,-0.45,0.83,1,17049.2,14068.84,0.74,0.26,"",""
"hasnosema_native_bee_abundance:statusnonnative",-6.02,7.21,-24.52,-0.52,1,3957.84,1972.45,0,1,"","***"
"hasnosema_statusnonnative:impatiens_abundance",0.01,0.33,-0.64,0.68,1,14306.24,12087.46,0.51,0.49,"",""
"apicystis_floral_abundance",0.08,0.16,-0.24,0.39,1,13358.25,14238.21,0.71,0.29,"",""
"apicystis_floral_diversity",-0.23,0.14,-0.5,0.04,1,17325.33,14915.73,0.05,0.95,"","*"
"apicystis_bombus_richness",-0.11,0.15,-0.41,0.18,1,14717.12,14846.4,0.23,0.77,"",""
"apicystis_native_bee_abundance",-0.02,0.03,-0.08,0.03,1,20870.5,15984.22,0.24,0.76,"",""
"apicystis_statusnonnative",0.09,0.46,-0.83,0.97,1,17099.31,14339.05,0.58,0.42,"",""
"apicystis_impatiens_abundance",-0.05,0.08,-0.21,0.1,1,14525.78,14944.17,0.27,0.73,"",""
"apicystis_prop_blueberry_500",-0.23,0.2,-0.62,0.17,1,16231.36,14826.14,0.13,0.87,"",""
"apicystis_prop_edge_500",-0.03,0.16,-0.33,0.28,1,13565.24,12830.91,0.44,0.56,"",""
"apicystis_landscape_shdi_500",-0.06,0.18,-0.41,0.28,1,13568.37,14114.96,0.36,0.64,"",""
"apicystis_casteworker",0.73,0.58,-0.35,1.95,1,26092.05,14178.57,0.9,0.1,"",""
"apicystis_julian_date",0.5,0.18,0.15,0.86,1,20332.7,16323.12,1,0,"***",""
"apicystis_Ijulian_dateE2",-0.38,0.2,-0.8,0.01,1,21850.57,15176.22,0.03,0.97,"","*"
"apicystis_native_bee_abundance:statusnonnative",0,0.08,-0.16,0.16,1,17619.33,14841.77,0.52,0.48,"",""
"apicystis_statusnonnative:impatiens_abundance",-0.02,0.11,-0.23,0.2,1,13925.54,14555.19,0.44,0.56,"",""
