"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"bombusrichness_Intercept",-2.25,0.06,-2.37,-2.14,1,16188.32,15283.06,0,1,"","***"
"nativebeeabundance_Intercept",-0.08,0.09,-0.26,0.1,1,10367.73,14126.65,0.2,0.8,"",""
"impatiensabundance_Intercept",-0.98,0.1,-1.19,-0.78,1,12587.97,13670.8,0,1,"","***"
"hascrithidia_Intercept",-1.72,1.11,-3.95,0.47,1,12462.05,12795.4,0.06,0.94,"",""
"hasnosema_Intercept",-2.9,1.18,-5.18,-0.48,1,10229.83,12627.77,0.01,0.99,"","***"
"apicystis_Intercept",-2.22,0.77,-3.76,-0.75,1,20454.21,14521.9,0,1,"","***"
"bombusrichness_floral_abundance",0.43,0.04,0.35,0.5,1,17241.21,15797.15,1,0,"***",""
"bombusrichness_floral_diversity",0.08,0.04,0.01,0.15,1,19350.01,15116.53,0.98,0.02,"**",""
"bombusrichness_prop_blueberry_500",-0.1,0.05,-0.2,0,1,11958.4,14925.46,0.02,0.98,"","**"
"bombusrichness_prop_edge_500",0.13,0.05,0.03,0.24,1,11235.47,14623.84,1,0,"***",""
"bombusrichness_landscape_shdi_500",-0.04,0.05,-0.14,0.07,1,11587.1,14857.31,0.24,0.76,"",""
"bombusrichness_julian_date",0.26,0.04,0.19,0.33,1,23950.59,16138.68,1,0,"***",""
"bombusrichness_Ijulian_dateE2",-0.19,0.04,-0.27,-0.11,1,29744.15,15505.53,0,1,"","***"
"nativebeeabundance_floral_abundance",0.52,0.05,0.41,0.63,1,18659.75,15600.06,1,0,"***",""
"nativebeeabundance_floral_diversity",0.06,0.05,-0.04,0.17,1,19015.76,15570.88,0.88,0.12,"",""
"nativebeeabundance_prop_blueberry_500",-0.17,0.09,-0.34,-0.01,1,9222.33,12518.61,0.02,0.98,"","**"
"nativebeeabundance_prop_edge_500",0.15,0.09,-0.02,0.32,1,7970.05,11446.74,0.96,0.04,"*",""
"nativebeeabundance_landscape_shdi_500",-0.05,0.09,-0.23,0.13,1,7640.26,11402.73,0.27,0.73,"",""
"nativebeeabundance_julian_date",-0.15,0.05,-0.25,-0.05,1,23105.52,16582.2,0,1,"","***"
"nativebeeabundance_Ijulian_dateE2",-0.43,0.05,-0.53,-0.32,1,23311.83,15627.46,0,1,"","***"
"impatiensabundance_floral_abundance",0.4,0.06,0.27,0.53,1,16763.14,15574.09,1,0,"***",""
"impatiensabundance_floral_diversity",-0.04,0.06,-0.15,0.07,1,17483.06,15197.41,0.24,0.76,"",""
"impatiensabundance_prop_blueberry_500",-0.11,0.09,-0.28,0.06,1,9528.37,13700.91,0.09,0.91,"",""
"impatiensabundance_prop_edge_500",0.14,0.09,-0.04,0.32,1,8156.37,11873.52,0.94,0.06,"",""
"impatiensabundance_landscape_shdi_500",0.02,0.09,-0.16,0.2,1,8245.33,11659.98,0.57,0.43,"",""
"impatiensabundance_julian_date",1.1,0.07,0.97,1.24,1,21694.83,16187.54,1,0,"***",""
"impatiensabundance_Ijulian_dateE2",-0.24,0.07,-0.39,-0.1,1,25227.19,16679.3,0,1,"","***"
"hascrithidia_floral_abundance",-0.07,0.17,-0.41,0.26,1,19819.71,15404.4,0.34,0.66,"",""
"hascrithidia_floral_diversity",-0.07,0.16,-0.38,0.25,1,16238.65,15777.98,0.34,0.66,"",""
"hascrithidia_bombus_richness",-0.05,0.15,-0.33,0.24,1,20878.23,15418.41,0.38,0.62,"",""
"hascrithidia_native_bee_abundance",0,0.02,-0.04,0.04,1,21236.65,15016.06,0.52,0.48,"",""
"hascrithidia_impatiens_abundance",-0.19,0.08,-0.35,-0.03,1,19015.88,14340.18,0.01,0.99,"","***"
"hascrithidia_prop_blueberry_500",-0.39,0.28,-0.94,0.15,1,16809.28,14047.33,0.08,0.92,"",""
"hascrithidia_prop_edge_500",-0.32,0.2,-0.71,0.07,1,16316.21,13844.58,0.05,0.95,"","*"
"hascrithidia_landscape_shdi_500",0.27,0.21,-0.15,0.69,1,13573.35,13976.02,0.9,0.1,"",""
"hascrithidia_casteworker",1.24,0.48,0.33,2.22,1,25864.46,14628.66,1,0,"***",""
"hascrithidia_julian_date",0.44,0.21,0.04,0.85,1,20571.47,15487.86,0.98,0.02,"**",""
"hascrithidia_Ijulian_dateE2",-0.32,0.22,-0.75,0.1,1,21748.46,15384.93,0.07,0.93,"",""
"hasnosema_floral_abundance",-0.19,0.27,-0.74,0.35,1,16522.57,15126.47,0.25,0.75,"",""
"hasnosema_floral_diversity",-0.07,0.27,-0.6,0.45,1,18969.29,15042.87,0.4,0.6,"",""
"hasnosema_bombus_richness",0.27,0.24,-0.2,0.75,1,13745.18,15346.27,0.87,0.13,"",""
"hasnosema_native_bee_abundance",0.02,0.03,-0.04,0.08,1,20403.51,15245.42,0.73,0.27,"",""
"hasnosema_impatiens_abundance",0.2,0.12,-0.05,0.44,1,16156.69,15074.43,0.94,0.06,"",""
"hasnosema_prop_blueberry_500",0.53,0.42,-0.27,1.37,1,15190.09,13435.68,0.9,0.1,"",""
"hasnosema_prop_edge_500",0.05,0.32,-0.56,0.7,1,11859.79,12686.59,0.56,0.44,"",""
"hasnosema_landscape_shdi_500",0.15,0.37,-0.59,0.87,1,14190.86,13402.33,0.67,0.33,"",""
"hasnosema_casteworker",-0.73,0.55,-1.8,0.39,1,26403.32,15635.73,0.09,0.91,"",""
"hasnosema_julian_date",-0.54,0.38,-1.33,0.17,1,13665.64,14138.21,0.07,0.93,"",""
"hasnosema_Ijulian_dateE2",0.13,0.35,-0.59,0.8,1,14948.9,14658.16,0.66,0.34,"",""
"apicystis_floral_abundance",0.14,0.18,-0.23,0.49,1,18221.22,14662.28,0.77,0.23,"",""
"apicystis_floral_diversity",-0.37,0.18,-0.72,-0.03,1,22145.07,16460.44,0.02,0.98,"","**"
"apicystis_bombus_richness",-0.02,0.17,-0.36,0.31,1,18269.64,12969.52,0.46,0.54,"",""
"apicystis_native_bee_abundance",-0.03,0.03,-0.09,0.02,1,24088.02,14865.5,0.13,0.87,"",""
"apicystis_impatiens_abundance",-0.09,0.09,-0.26,0.07,1,23764.64,15512.95,0.14,0.86,"",""
"apicystis_prop_blueberry_500",-0.26,0.28,-0.83,0.29,1,19701.69,14846.56,0.18,0.82,"",""
"apicystis_prop_edge_500",0.06,0.19,-0.31,0.44,1,18094.81,15218.28,0.64,0.36,"",""
"apicystis_landscape_shdi_500",-0.25,0.21,-0.67,0.17,1,15846.46,16157.43,0.12,0.88,"",""
"apicystis_casteworker",0.78,0.61,-0.33,2.04,1,23823.79,13790.81,0.91,0.09,"",""
"apicystis_julian_date",0.48,0.22,0.06,0.92,1,20954.81,15766.12,0.99,0.01,"***",""
"apicystis_Ijulian_dateE2",-0.23,0.25,-0.75,0.25,1,25596.15,15785.16,0.18,0.82,"",""
