"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"floraldiversity_Intercept",0.05,0.05,-0.04,0.14,1,2478,3135.85,0.86,0.14,"",""
"floralabundance_Intercept",0.17,0.05,0.08,0.27,1,2030.94,2734.8,1,0,"***",""
"nativebeeabundance_Intercept",0.26,0.08,0.09,0.42,1,2007.77,3278.86,1,0,"***",""
"bombusshannondiversity_Intercept",-0.34,0.02,-0.38,-0.3,1,7323.62,4310.79,0,1,"","***"
"impatiensabundance_Intercept",-0.25,0.13,-0.51,-0.01,1,2316.69,2987.42,0.02,0.98,"","***"
"anyparasite_Intercept",0.06,0.57,-1.09,1.15,1,2018.87,2896.26,0.55,0.45,"",""
"floraldiversity_polyjulian_date21",13.04,1.78,9.43,16.54,1,8518.99,4152.63,1,0,"***",""
"floraldiversity_polyjulian_date22",-7.88,1.74,-11.29,-4.43,1,8899.91,3768.94,0,1,"","***"
"floralabundance_polyjulian_date21",-17.86,1.86,-21.46,-14.08,1,6292.39,4169.9,0,1,"","***"
"floralabundance_polyjulian_date22",-4.36,1.73,-7.7,-0.92,1,6838.95,3459.75,0.01,0.99,"","***"
"nativebeeabundance_floral_abundance",0.24,0.04,0.16,0.32,1,4770.53,3864.64,1,0,"***",""
"nativebeeabundance_floral_diversity",-0.13,0.04,-0.22,-0.05,1,6127.44,4147.76,0,1,"","***"
"nativebeeabundance_prop_blueberry",-0.06,0.08,-0.24,0.1,1,1881.8,3245.57,0.22,0.78,"",""
"nativebeeabundance_prop_edge",0.04,0.08,-0.11,0.2,1,1633.06,2388.55,0.67,0.33,"",""
"nativebeeabundance_landscape_shdi",0.1,0.09,-0.07,0.28,1,1503.99,2339.95,0.85,0.15,"",""
"nativebeeabundance_polyjulian_date21",-9.61,2.51,-14.51,-4.58,1,6536.86,3820.1,0,1,"","***"
"nativebeeabundance_polyjulian_date22",-12.73,2.18,-17.04,-8.5,1,6633.17,4029.86,0,1,"","***"
"bombusshannondiversity_floral_diversity",-0.01,0.02,-0.05,0.03,1,6113.2,4250.56,0.32,0.68,"",""
"bombusshannondiversity_floral_abundance",0.04,0.02,-0.01,0.08,1,5580.19,3764.7,0.96,0.04,"**",""
"bombusshannondiversity_polyjulian_date21",-1.51,1.25,-3.97,0.91,1,6696.28,3754.8,0.11,0.89,"",""
"bombusshannondiversity_polyjulian_date22",-3.88,1.27,-6.37,-1.4,1,9317.23,3957.15,0,1,"","***"
"bombusshannondiversity_landscape_shdi",-0.03,0.02,-0.08,0.02,1,4863.38,3782.92,0.11,0.89,"",""
"bombusshannondiversity_prop_blueberry",-0.01,0.02,-0.05,0.04,1,6527.89,4176.22,0.37,0.63,"",""
"bombusshannondiversity_prop_edge",0.01,0.02,-0.03,0.06,1,4725.41,4003.34,0.72,0.28,"",""
"impatiensabundance_floral_abundance",0.17,0.07,0.04,0.3,1,4465.16,3668.63,1,0,"***",""
"impatiensabundance_floral_diversity",-0.1,0.05,-0.2,0.01,1,5095.55,4183.19,0.04,0.96,"","**"
"impatiensabundance_prop_blueberry",-0.04,0.1,-0.24,0.16,1,2349.76,3260,0.36,0.64,"",""
"impatiensabundance_prop_edge",0.09,0.1,-0.1,0.3,1,1663.75,2696.07,0.83,0.17,"",""
"impatiensabundance_landscape_shdi",0.03,0.11,-0.17,0.24,1,1937.47,2850.94,0.62,0.38,"",""
"impatiensabundance_polyjulian_date21",40.37,6.69,27.77,54.16,1,4860.63,3675,1,0,"***",""
"impatiensabundance_polyjulian_date22",-14.16,4.45,-23.08,-5.3,1,5567.86,4148.81,0,1,"","***"
"anyparasite_bombus_shannon_diversity",0.12,0.24,-0.34,0.59,1,6664.51,3763.22,0.7,0.3,"",""
"anyparasite_native_bee_abundance",0.01,0.02,-0.03,0.05,1,7403.54,4053.31,0.71,0.29,"",""
"anyparasite_floral_abundance",-0.02,0.12,-0.24,0.2,1,5814.26,4021.95,0.43,0.57,"",""
"anyparasite_floral_diversity",0.02,0.1,-0.18,0.23,1,6477.67,3739.8,0.59,0.41,"",""
"anyparasite_prop_blueberry",-0.04,0.18,-0.39,0.32,1,4564.92,3961.2,0.41,0.59,"",""
"anyparasite_polyjulian_date21",24.1,8.08,8.61,39.89,1,6454.65,4389.29,1,0,"***",""
"anyparasite_polyjulian_date22",-11.04,7.06,-25.19,3.18,1,8215.6,3426.21,0.06,0.94,"","*"
"anyparasite_impatiens_abundance",-0.03,0.05,-0.12,0.06,1,5412.6,3728.85,0.26,0.74,"",""
"anyparasite_final_idB.flavifrons",-0.29,0.58,-1.42,0.87,1,2178.28,3098.88,0.3,0.7,"",""
"anyparasite_final_idB.impatiens",-0.63,0.53,-1.65,0.4,1,1966.22,3206.69,0.11,0.89,"",""
"anyparasite_final_idB.mixtus",-0.05,0.53,-1.06,1,1,1816.99,2742.21,0.46,0.54,"",""
"anyparasite_final_idB.rufocinctus",-1.14,0.64,-2.4,0.1,1,2185.55,3388.71,0.03,0.97,"","**"
"anyparasite_final_idB.vosnesenskii",0.82,0.59,-0.35,1.96,1,2353.96,3343.4,0.92,0.08,"*",""
