"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"floraldiversity_Intercept",0.17,0.05,0.07,0.25,1,1975.85,2748.59,1,0,"***",""
"floralabundance_Intercept",0.14,0.05,0.04,0.24,1,1350.92,2473.22,1,0,"***",""
"nativebeeabundance_Intercept",-0.13,0.05,-0.23,-0.04,1,6890.02,4101.89,0,1,"","***"
"bombusshannondiversity_Intercept",-0.27,0.03,-0.33,-0.22,1,5147.19,3922.03,0,1,"","***"
"impatiensabundance_Intercept",-0.97,0.1,-1.18,-0.78,1,3428.65,3839.28,0,1,"","***"
"sppanyparasite_Intercept",-1.69,0.64,-3.02,-0.48,1,2011.37,2296.2,0,1,"","***"
"floraldiversity_julian_date",0.15,0.02,0.11,0.2,1,5077.74,3803.84,1,0,"***",""
"floraldiversity_Ijulian_dateE2",-0.2,0.02,-0.25,-0.16,1,5448.29,3691.23,0,1,"","***"
"floralabundance_julian_date",-0.24,0.02,-0.28,-0.2,1,6010.5,4288.96,0,1,"","***"
"floralabundance_Ijulian_dateE2",-0.12,0.02,-0.17,-0.08,1,5667.44,3385.71,0,1,"","***"
"nativebeeabundance_floral_abundance",0.67,0.05,0.57,0.77,1,5763.8,4095.04,1,0,"***",""
"nativebeeabundance_floral_diversity",0.14,0.05,0.04,0.24,1,5471.52,3476.95,1,0,"***",""
"nativebeeabundance_prop_blueberry",-0.12,0.05,-0.23,-0.02,1,6133.83,3438.05,0.01,0.99,"","***"
"nativebeeabundance_prop_edge",0.14,0.05,0.04,0.25,1,5128.36,3434,1,0,"***",""
"nativebeeabundance_landscape_shdi",-0.06,0.06,-0.17,0.05,1,4926.5,3688.09,0.15,0.85,"",""
"nativebeeabundance_julian_date",-0.08,0.05,-0.18,0.03,1,6072.44,4048.24,0.08,0.92,"","*"
"bombusshannondiversity_floral_diversity",-0.01,0.02,-0.05,0.03,1,4554.41,4122.74,0.34,0.66,"",""
"bombusshannondiversity_floral_abundance",0.04,0.02,0,0.08,1,3927.26,3643.04,0.96,0.04,"**",""
"bombusshannondiversity_julian_date",-0.04,0.02,-0.08,0,1,5099.06,4040.34,0.03,0.97,"","**"
"bombusshannondiversity_Ijulian_dateE2",-0.08,0.02,-0.13,-0.03,1,5603.26,3869.38,0,1,"","***"
"bombusshannondiversity_landscape_shdi",-0.03,0.02,-0.07,0.02,1,3571.51,3482.6,0.1,0.9,"","*"
"bombusshannondiversity_prop_blueberry",-0.01,0.02,-0.05,0.04,1,4629.55,3882.14,0.37,0.63,"",""
"bombusshannondiversity_prop_edge",0.01,0.02,-0.03,0.05,1,3606.49,3399.46,0.72,0.28,"",""
"impatiensabundance_floral_abundance",0.4,0.06,0.28,0.52,1,3602.1,3857.09,1,0,"***",""
"impatiensabundance_floral_diversity",-0.04,0.06,-0.15,0.07,1,4415.06,4075.16,0.21,0.79,"",""
"impatiensabundance_prop_blueberry",-0.11,0.09,-0.28,0.06,1,2349.64,2877.92,0.1,0.9,"","*"
"impatiensabundance_prop_edge",0.15,0.09,-0.02,0.33,1,2299.05,2985.71,0.95,0.05,"**",""
"impatiensabundance_landscape_shdi",0.01,0.09,-0.17,0.19,1,2421.34,3156.97,0.53,0.47,"",""
"impatiensabundance_julian_date",1.11,0.07,0.98,1.24,1,4344.02,3931.77,1,0,"***",""
"impatiensabundance_Ijulian_dateE2",-0.26,0.07,-0.4,-0.12,1,5272.12,3939.55,0,1,"","***"
"sppanyparasite_bombus_shannon_diversity",0.03,0.3,-0.56,0.61,1,4057.57,3715.28,0.54,0.46,"",""
"sppanyparasite_native_bee_abundance",-0.01,0.05,-0.11,0.07,1,4265.53,3658,0.4,0.6,"",""
"sppanyparasite_impatiens_abundance",-0.1,0.06,-0.23,0.01,1,5032.64,3506,0.04,0.96,"","**"
"sppanyparasite_floral_abundance",0.08,0.12,-0.14,0.31,1,4663.84,4046.41,0.76,0.24,"",""
"sppanyparasite_floral_diversity",0.06,0.11,-0.15,0.28,1,5128.83,3880.4,0.72,0.28,"",""
"sppanyparasite_prop_blueberry",-0.19,0.15,-0.48,0.09,1,4531.38,3848.88,0.09,0.91,"","*"
"sppanyparasite_julian_date",0.39,0.16,0.08,0.71,1,4250.96,3831.75,0.99,0.01,"***",""
"sppanyparasite_Ijulian_dateE2",-0.19,0.17,-0.52,0.13,1,4808.25,3668.73,0.14,0.86,"",""
"sppanyparasite_final_idB.flavifrons",0.07,0.64,-1.16,1.35,1,2118.48,2566.75,0.54,0.46,"",""
"sppanyparasite_final_idB.impatiens",-0.89,0.57,-1.95,0.29,1,2082.43,2507.08,0.06,0.94,"","*"
"sppanyparasite_final_idB.mixtus",-0.29,0.56,-1.31,0.9,1,1986.97,2412.4,0.29,0.71,"",""
"sppanyparasite_final_idB.rufocinctus",-0.88,0.66,-2.12,0.46,1,2362.07,2528.24,0.09,0.91,"","*"
"sppanyparasite_final_idB.vosnesenskii",-0.39,0.61,-1.48,0.88,1,2505.55,2771.73,0.25,0.75,"",""
