"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"floraldiversity_Intercept",0.17,0.05,0.08,0.26,1,1770.53,2797.33,1,0,"***",""
"floralabundance_Intercept",0.14,0.05,0.04,0.24,1,1110.1,1818.12,1,0,"***",""
"nativebeeabundance_Intercept",-0.07,0.09,-0.26,0.1,1,2617.38,3880.29,0.21,0.79,"",""
"bombusshannondiversity_Intercept",-0.27,0.03,-0.33,-0.22,1,6022.22,4329.04,0,1,"","***"
"impatiensabundance_Intercept",-0.97,0.1,-1.17,-0.77,1,2884.26,3671.58,0,1,"","***"
"anyparasite_Intercept",0.22,0.56,-0.86,1.29,1,1955.64,2731.88,0.66,0.34,"",""
"floraldiversity_julian_date",0.15,0.02,0.11,0.2,1,7461.73,3827.32,1,0,"***",""
"floraldiversity_Ijulian_dateE2",-0.2,0.02,-0.25,-0.16,1,7898.06,3656.99,0,1,"","***"
"floralabundance_julian_date",-0.24,0.02,-0.28,-0.2,1,6147.85,3899.57,0,1,"","***"
"floralabundance_Ijulian_dateE2",-0.12,0.02,-0.17,-0.08,1,7731.19,4201.24,0,1,"","***"
"nativebeeabundance_floral_abundance",0.54,0.06,0.43,0.65,1,4186.77,3935.64,1,0,"***",""
"nativebeeabundance_floral_diversity",0.06,0.06,-0.06,0.16,1,4630.51,4219.18,0.84,0.16,"",""
"nativebeeabundance_prop_blueberry",-0.18,0.08,-0.34,-0.01,1,2503.16,3564.56,0.02,0.98,"","***"
"nativebeeabundance_prop_edge",0.15,0.08,-0.01,0.32,1,1724.79,3172.93,0.97,0.03,"**",""
"nativebeeabundance_landscape_shdi",-0.06,0.09,-0.23,0.12,1,1938.33,2908.68,0.24,0.76,"",""
"nativebeeabundance_julian_date",-0.15,0.05,-0.26,-0.05,1,6582.84,4218.03,0,1,"","***"
"nativebeeabundance_Ijulian_dateE2",-0.43,0.05,-0.53,-0.32,1,6853.64,4206.11,0,1,"","***"
"bombusshannondiversity_floral_diversity",-0.01,0.02,-0.05,0.03,1,5264.69,4241.28,0.32,0.68,"",""
"bombusshannondiversity_floral_abundance",0.04,0.02,0,0.08,1,3957.57,3365.52,0.96,0.04,"**",""
"bombusshannondiversity_julian_date",-0.04,0.02,-0.08,0,1,5585.34,4147.63,0.03,0.97,"","**"
"bombusshannondiversity_Ijulian_dateE2",-0.08,0.02,-0.13,-0.03,1,6849.32,3785.12,0,1,"","***"
"bombusshannondiversity_landscape_shdi",-0.03,0.02,-0.07,0.02,1,3748.19,3802.62,0.11,0.89,"",""
"bombusshannondiversity_prop_blueberry",-0.01,0.02,-0.05,0.04,1,5448.62,4057.89,0.37,0.63,"",""
"bombusshannondiversity_prop_edge",0.01,0.02,-0.03,0.05,1,3864.3,3507.82,0.71,0.29,"",""
"impatiensabundance_floral_abundance",0.4,0.06,0.28,0.53,1,4203.97,3844.35,1,0,"***",""
"impatiensabundance_floral_diversity",-0.05,0.06,-0.15,0.06,1,4769.03,4566.56,0.21,0.79,"",""
"impatiensabundance_prop_blueberry",-0.11,0.09,-0.28,0.06,1,2177.62,2821.63,0.1,0.9,"","*"
"impatiensabundance_prop_edge",0.14,0.09,-0.04,0.32,1,1913.73,2773.34,0.94,0.06,"*",""
"impatiensabundance_landscape_shdi",0.01,0.09,-0.17,0.19,1,2061.79,2954.91,0.56,0.44,"",""
"impatiensabundance_julian_date",1.11,0.07,0.98,1.24,1,4887.53,3992.53,1,0,"***",""
"impatiensabundance_Ijulian_dateE2",-0.26,0.07,-0.41,-0.12,1,6494.05,4034.95,0,1,"","***"
"anyparasite_bombus_shannon_diversity",0.12,0.24,-0.35,0.6,1,4596.85,3752.39,0.69,0.31,"",""
"anyparasite_native_bee_abundance",0.01,0.02,-0.02,0.04,1,6259.5,4331.97,0.71,0.29,"",""
"anyparasite_impatiens_abundance",-0.03,0.05,-0.12,0.06,1,4138.34,3885.79,0.26,0.74,"",""
"anyparasite_floral_abundance",-0.02,0.12,-0.25,0.2,1,4824.44,4060.83,0.43,0.57,"",""
"anyparasite_floral_diversity",0.03,0.1,-0.17,0.22,1,4238.44,4214.86,0.59,0.41,"",""
"anyparasite_prop_blueberry",-0.04,0.18,-0.39,0.31,1,3494.87,3598.55,0.4,0.6,"",""
"anyparasite_julian_date",0.38,0.14,0.11,0.64,1,5394.47,3968.04,1,0,"***",""
"anyparasite_Ijulian_dateE2",-0.22,0.14,-0.5,0.06,1,6501.69,3857.09,0.06,0.94,"","*"
"anyparasite_final_idB.flavifrons",-0.3,0.55,-1.37,0.78,1,1972.15,2973.34,0.3,0.7,"",""
"anyparasite_final_idB.impatiens",-0.63,0.51,-1.61,0.37,1,1878.44,2602.88,0.1,0.9,"","*"
"anyparasite_final_idB.mixtus",-0.07,0.51,-1.03,0.91,1,1970.5,2856.2,0.45,0.55,"",""
"anyparasite_final_idB.rufocinctus",-1.14,0.61,-2.37,0.04,1,1991.64,2933.35,0.03,0.97,"","**"
"anyparasite_final_idB.vosnesenskii",0.81,0.57,-0.31,1.92,1,2460.19,3373.31,0.92,0.08,"*",""
