"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"floraldiversity_Intercept",-0.02,0.04,-0.1,0.06,1,2234.68,2886.24,0.35,0.65,"",""
"floralabundance_Intercept",0.01,0.05,-0.08,0.11,1,1364.79,2021.67,0.61,0.39,"",""
"nativebeeabundance_Intercept",0.23,0.08,0.06,0.4,1,2156.13,3030.44,0.99,0.01,"***",""
"bombusshannondiversity_Intercept",-0.35,0.02,-0.39,-0.3,1,6689.18,4160.48,0,1,"","***"
"impatiensabundance_Intercept",-0.32,0.13,-0.59,-0.07,1,2600.75,2853.07,0.01,0.99,"","***"
"sppapicystis_Intercept",-4.1,1.41,-7.46,-1.84,1,2154.04,1528.41,0,1,"","***"
"floraldiversity_polyjulian_date21",9.67,0.95,7.82,11.51,1,9809.87,3932.02,1,0,"***",""
"floraldiversity_polyjulian_date22",-8.32,0.93,-10.14,-6.47,1,9849.29,3970.39,0,1,"","***"
"floralabundance_polyjulian_date21",-9.08,0.97,-11,-7.17,1,8897.07,4047.27,0,1,"","***"
"floralabundance_polyjulian_date22",-5.09,0.92,-6.87,-3.29,1,9076.68,3972.93,0,1,"","***"
"nativebeeabundance_floral_abundance",0.24,0.04,0.16,0.32,1,4805.5,3689.1,1,0,"***",""
"nativebeeabundance_floral_diversity",-0.13,0.04,-0.21,-0.05,1,6535.21,4253.9,0,1,"","***"
"nativebeeabundance_prop_blueberry",-0.09,0.09,-0.26,0.08,1,1837.8,3032.54,0.14,0.86,"",""
"nativebeeabundance_prop_edge",0.03,0.08,-0.13,0.19,1,1551.62,2310.96,0.63,0.37,"",""
"nativebeeabundance_landscape_shdi",0.11,0.09,-0.07,0.28,1,1664.36,2609.2,0.89,0.11,"",""
"nativebeeabundance_polyjulian_date21",-5.49,1.9,-9.18,-1.71,1,7113.94,3847.84,0,1,"","***"
"nativebeeabundance_polyjulian_date22",-10.6,1.84,-14.12,-6.94,1,8621.55,3552.58,0,1,"","***"
"bombusshannondiversity_floral_diversity",-0.01,0.02,-0.05,0.03,1,6705.05,3929.52,0.33,0.67,"",""
"bombusshannondiversity_floral_abundance",0.04,0.02,0,0.08,1,5465.81,3933.54,0.96,0.04,"**",""
"bombusshannondiversity_polyjulian_date21",-0.68,1.03,-2.66,1.36,1,6764.58,3661.28,0.25,0.75,"",""
"bombusshannondiversity_polyjulian_date22",-3.23,1.04,-5.28,-1.15,1,7468.08,3492.92,0,1,"","***"
"bombusshannondiversity_landscape_shdi",-0.03,0.02,-0.08,0.02,1,5153.45,4534.57,0.1,0.9,"","*"
"bombusshannondiversity_prop_blueberry",-0.01,0.02,-0.05,0.04,1,7076.19,4199.16,0.36,0.64,"",""
"bombusshannondiversity_prop_edge",0.01,0.02,-0.03,0.05,1,5342.59,4234.95,0.72,0.28,"",""
"impatiensabundance_floral_abundance",0.17,0.06,0.04,0.29,1,4485.97,4485.99,1,0,"***",""
"impatiensabundance_floral_diversity",-0.1,0.05,-0.2,0.01,1,4931.71,3959.5,0.03,0.97,"","**"
"impatiensabundance_prop_blueberry",-0.04,0.11,-0.24,0.17,1,2190.58,2938.38,0.36,0.64,"",""
"impatiensabundance_prop_edge",0.09,0.1,-0.1,0.3,1,1723.54,2841.26,0.82,0.18,"",""
"impatiensabundance_landscape_shdi",0.04,0.11,-0.17,0.24,1,2001.05,2960.45,0.63,0.37,"",""
"impatiensabundance_polyjulian_date21",33.84,5.75,23.03,45.39,1,4268.38,3514.56,1,0,"***",""
"impatiensabundance_polyjulian_date22",-11.87,3.66,-19.32,-4.92,1,4595.06,3724.15,0,1,"","***"
"sppapicystis_bombus_shannon_diversity",0.36,0.5,-0.6,1.31,1,5794.79,4401.64,0.77,0.23,"",""
"sppapicystis_native_bee_abundance",-0.09,0.09,-0.28,0.08,1,6581.4,3954,0.16,0.84,"",""
"sppapicystis_impatiens_abundance",-0.25,0.11,-0.47,-0.04,1,7817.29,3960.42,0.01,0.99,"","***"
"sppapicystis_floral_abundance",0.26,0.18,-0.08,0.62,1,6433.52,3932.71,0.93,0.07,"*",""
"sppapicystis_floral_diversity",-0.16,0.16,-0.48,0.16,1,8479.69,4099.28,0.17,0.83,"",""
"sppapicystis_prop_blueberry",-0.42,0.25,-0.93,0.04,1,9479.14,3966.27,0.04,0.96,"","**"
"sppapicystis_polyjulian_date21",34.51,14.19,8.24,65.03,1,6204.6,3908.47,1,0,"***",""
"sppapicystis_polyjulian_date22",-16.01,11.78,-40.41,5.95,1,7203.75,3864.51,0.08,0.92,"","*"
"sppapicystis_final_idB.flavifrons",1.37,1.45,-1,4.77,1,2095.07,1474.68,0.84,0.16,"",""
"sppapicystis_final_idB.impatiens",0.69,1.36,-1.41,3.98,1,2137.66,1524.34,0.67,0.33,"",""
"sppapicystis_final_idB.mixtus",0.58,1.36,-1.54,3.83,1,2117.89,1601.86,0.63,0.37,"",""
"sppapicystis_final_idB.rufocinctus",0.36,1.45,-2.09,3.68,1,2193.71,1686.35,0.56,0.44,"",""
"sppapicystis_final_idB.vosnesenskii",0.61,1.41,-1.7,3.88,1,2306.38,1712.28,0.64,0.36,"",""
"sppapicystis_final_idnone",3.96,10.83,-18.31,25.42,1,4456.48,2144.63,0.7,0.3,"",""
