"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"floraldiversity_Intercept",0.17,0.06,0.05,0.28,1,4469.36,3938.6,1,0,"***",""
"floralabundance_Intercept",0.28,0.05,0.18,0.39,1,4074.93,4241.28,1,0,"***",""
"nativebeeabundance_Intercept",0.26,0.08,0.09,0.42,1,3309.09,3876.54,1,0,"***",""
"bombusshannondiversity_Intercept",-0.34,0.02,-0.38,-0.3,1,8102.68,3968.18,0,1,"","***"
"impatiensabundance_Intercept",-0.25,0.12,-0.5,-0.01,1,3854.59,4019.87,0.02,0.98,"","***"
"apicystis_Intercept",-1.64,0.72,-3.12,-0.3,1,3500.18,3143.14,0.01,0.99,"","***"
"floraldiversity_julian_date",0.2,0.03,0.14,0.26,1,10533.69,3944.33,1,0,"***",""
"floraldiversity_Ijulian_dateE2",-0.16,0.04,-0.23,-0.09,1,10910.15,3846.62,0,1,"","***"
"floralabundance_julian_date",-0.33,0.03,-0.39,-0.27,1,8912.75,4157.79,0,1,"","***"
"floralabundance_Ijulian_dateE2",-0.09,0.04,-0.16,-0.02,1,8980.98,4500.25,0.01,0.99,"","***"
"nativebeeabundance_floral_abundance",0.24,0.04,0.16,0.32,1,6629.02,3862.98,1,0,"***",""
"nativebeeabundance_floral_diversity",-0.13,0.04,-0.21,-0.06,1,6846.69,3686.62,0,1,"","***"
"nativebeeabundance_prop_blueberry",-0.06,0.09,-0.23,0.11,1,3047.37,3547.09,0.23,0.77,"",""
"nativebeeabundance_prop_edge",0.03,0.08,-0.12,0.2,1,2689.84,3595.71,0.66,0.34,"",""
"nativebeeabundance_landscape_shdi",0.1,0.09,-0.08,0.27,1,2253.37,3242.2,0.86,0.14,"",""
"nativebeeabundance_polyjulian_date21",-9.54,2.44,-14.51,-4.78,1,9393.16,4037.4,0,1,"","***"
