"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"bombusrichness_Intercept",-2.24,0.06,-2.36,-2.12,1,11943.03,14990.9,0,1,"","***"
"nativebeeabundance_Intercept",-0.07,0.09,-0.26,0.11,1,7648.31,11286.83,0.23,0.77,"",""
"impatiensabundance_Intercept",-0.97,0.1,-1.17,-0.77,1,9989.97,13764.54,0,1,"","***"
"bombusrichness_floral_abundance",0.43,0.04,0.35,0.5,1,13513.61,15214.16,1,0,"***",""
"bombusrichness_floral_diversity",0.08,0.04,0,0.15,1,16295.91,15934.18,0.98,0.02,"**",""
"bombusrichness_prop_blueberry_750",-0.08,0.05,-0.18,0.02,1,8680.69,13453.11,0.05,0.95,"","*"
"bombusrichness_prop_edge_750",0.01,0.06,-0.1,0.13,1,7508.79,11861.54,0.59,0.41,"",""
"bombusrichness_landscape_shdi_750",0.04,0.06,-0.08,0.16,1,7748.28,11344.66,0.74,0.26,"",""
"bombusrichness_julian_date",0.26,0.04,0.18,0.33,1,21595.59,15791.62,1,0,"***",""
"bombusrichness_Ijulian_dateE2",-0.2,0.04,-0.28,-0.12,1,25199.92,14516.07,0,1,"","***"
"nativebeeabundance_floral_abundance",0.53,0.05,0.42,0.63,1,14461.53,15929.53,1,0,"***",""
"nativebeeabundance_floral_diversity",0.06,0.06,-0.04,0.17,1,15309.96,15626.47,0.87,0.13,"",""
"nativebeeabundance_prop_blueberry_750",-0.19,0.08,-0.35,-0.03,1,6678.61,11010.28,0.01,0.99,"","***"
"nativebeeabundance_prop_edge_750",0.02,0.09,-0.17,0.21,1,5959.39,9937.29,0.58,0.42,"",""
"nativebeeabundance_landscape_shdi_750",0,0.09,-0.18,0.19,1,5686.93,9741.53,0.52,0.48,"",""
"nativebeeabundance_julian_date",-0.14,0.05,-0.25,-0.04,1,20786.96,16197.77,0,1,"","***"
"nativebeeabundance_Ijulian_dateE2",-0.44,0.05,-0.54,-0.33,1,20358.66,15538.2,0,1,"","***"
"impatiensabundance_floral_abundance",0.41,0.06,0.29,0.54,1,14042.39,15065.47,1,0,"***",""
"impatiensabundance_floral_diversity",-0.04,0.06,-0.15,0.07,1,14962.67,14314.89,0.23,0.77,"",""
"impatiensabundance_prop_blueberry_750",-0.03,0.08,-0.2,0.13,1,6205.13,10690.11,0.35,0.65,"",""
"impatiensabundance_prop_edge_750",0.05,0.1,-0.15,0.24,1,5622.31,9658.3,0.68,0.32,"",""
"impatiensabundance_landscape_shdi_750",0.11,0.1,-0.1,0.31,1,5632.39,9913.12,0.85,0.15,"",""
"impatiensabundance_julian_date",1.11,0.07,0.97,1.24,1,17393,15787.61,1,0,"***",""
"impatiensabundance_Ijulian_dateE2",-0.25,0.07,-0.4,-0.11,1,21258.71,16206.59,0,1,"","***"
