"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"bombusrichness_Intercept",-2.25,0.06,-2.37,-2.13,1,16068.37,15722.72,0,1,"","***"
"nativebeeabundance_Intercept",-0.08,0.09,-0.26,0.1,1,9756.86,13123.62,0.2,0.8,"",""
"impatiensabundance_Intercept",-0.98,0.1,-1.18,-0.78,1,12619.09,14894.88,0,1,"","***"
"bombusrichness_floral_abundance",0.43,0.04,0.35,0.5,1,16715.13,14554.52,1,0,"***",""
"bombusrichness_floral_diversity",0.08,0.04,0.01,0.15,1,20436.87,15814.79,0.98,0.02,"**",""
"bombusrichness_prop_blueberry_500",-0.1,0.05,-0.2,0,1,13146.65,14036.52,0.02,0.98,"","**"
"bombusrichness_prop_edge_500",0.1,0.05,0,0.21,1,10711.58,12671.82,0.97,0.03,"*",""
"bombusrichness_landscape_shdi_500",-0.01,0.06,-0.12,0.11,1,10825.67,14183.42,0.45,0.55,"",""
"bombusrichness_julian_date",0.26,0.04,0.18,0.33,1,25021.66,15966.33,1,0,"***",""
"bombusrichness_Ijulian_dateE2",-0.19,0.04,-0.27,-0.11,1,29461.03,15838.81,0,1,"","***"
"nativebeeabundance_floral_abundance",0.52,0.05,0.42,0.63,1,15978.99,16165.2,1,0,"***",""
"nativebeeabundance_floral_diversity",0.06,0.05,-0.04,0.17,1,17976.52,15614.1,0.88,0.12,"",""
"nativebeeabundance_prop_blueberry_500",-0.19,0.08,-0.35,-0.03,1,9037.21,12637.27,0.01,0.99,"","***"
"nativebeeabundance_prop_edge_500",0.13,0.09,-0.05,0.3,1,7687.43,11876.81,0.93,0.07,"",""
"nativebeeabundance_landscape_shdi_500",-0.03,0.09,-0.21,0.16,1,8042.82,11377.72,0.39,0.61,"",""
"nativebeeabundance_julian_date",-0.15,0.05,-0.25,-0.04,1,22849.27,16738.25,0,1,"","***"
"nativebeeabundance_Ijulian_dateE2",-0.43,0.05,-0.54,-0.33,1,26323.56,16472.57,0,1,"","***"
"impatiensabundance_floral_abundance",0.41,0.06,0.28,0.53,1,15271.4,16272.73,1,0,"***",""
"impatiensabundance_floral_diversity",-0.04,0.06,-0.15,0.07,1,18180.1,16141.71,0.24,0.76,"",""
"impatiensabundance_prop_blueberry_500",-0.09,0.08,-0.25,0.07,1,9801.95,14055.29,0.14,0.86,"",""
"impatiensabundance_prop_edge_500",0.09,0.09,-0.09,0.28,1,8535.63,11901.3,0.83,0.17,"",""
"impatiensabundance_landscape_shdi_500",0.09,0.1,-0.11,0.28,1,8788.52,12598.63,0.81,0.19,"",""
"impatiensabundance_julian_date",1.1,0.07,0.97,1.24,1,19463.36,15709.72,1,0,"***",""
"impatiensabundance_Ijulian_dateE2",-0.25,0.08,-0.39,-0.1,1,22732.12,16208.85,0,1,"","***"
