"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"floraldiversity_Intercept",0.34,0.12,0.11,0.57,1,1032.03,2085.73,1,0,"***",""
"floralabundance_Intercept",0.2,0.11,-0.01,0.41,1,1227.71,1931.49,0.97,0.03,"**",""
"nativebeeabundance_Intercept",0.47,0.19,0.06,0.82,1,966.67,1656.87,0.99,0.01,"***",""
"bombusshannondiversity_Intercept",-0.27,0.05,-0.36,-0.17,1,2196.5,2972.71,0,1,"","***"
"impatiensabundance_Intercept",0.41,0.2,0.02,0.79,1,1052.62,1948.7,0.98,0.02,"***",""
"hascrithidia_Intercept",-3.56,1.35,-6.72,-1.42,1,1271.48,912.52,0,1,"","***"
"floraldiversity_julian_date",0.2,0.03,0.14,0.26,1,4917.19,3957.96,1,0,"***",""
"floraldiversity_Ijulian_dateE2",-0.16,0.04,-0.23,-0.1,1,4738.31,3785.05,0,1,"","***"
"floraldiversity_siteHR",0.08,0.15,-0.22,0.38,1,1254.83,1964.96,0.7,0.3,"",""
"floraldiversity_siteNR",-0.39,0.17,-0.71,-0.06,1,1384.18,2062.65,0.01,0.99,"","***"
"floraldiversity_sitePM",-0.24,0.16,-0.55,0.07,1,1043.91,2288.97,0.07,0.93,"","*"
"floraldiversity_siteSD",-0.27,0.17,-0.6,0.07,1,1347.13,2136.33,0.06,0.94,"","*"
"floraldiversity_siteW",-0.25,0.16,-0.56,0.07,1,1313.4,1929.28,0.06,0.94,"","*"
"floralabundance_julian_date",-0.33,0.03,-0.39,-0.27,1,3864.62,3018.97,0,1,"","***"
"floralabundance_Ijulian_dateE2",-0.09,0.04,-0.16,-0.02,1,4853.76,3795.24,0.01,0.99,"","***"
"floralabundance_siteHR",0.07,0.15,-0.22,0.34,1,1330.05,2259.73,0.68,0.32,"",""
"floralabundance_siteNR",0.15,0.16,-0.17,0.44,1,1215.39,1959.91,0.82,0.18,"",""
"floralabundance_sitePM",-0.1,0.15,-0.4,0.18,1,1274.53,2527.29,0.24,0.76,"",""
"floralabundance_siteSD",0.46,0.16,0.14,0.78,1,1425.83,2482.02,1,0,"***",""
"floralabundance_siteW",0.05,0.15,-0.24,0.36,1,1186.82,1874.99,0.63,0.37,"",""
"nativebeeabundance_floral_abundance",0.24,0.04,0.16,0.32,1,2361.43,3054.4,1,0,"***",""
"nativebeeabundance_floral_diversity",-0.14,0.04,-0.22,-0.06,1,3164.37,3231.91,0,1,"","***"
"nativebeeabundance_prop_blueberry",0.06,0.11,-0.16,0.28,1,1137.69,1857.93,0.71,0.29,"",""
"nativebeeabundance_prop_edge",0.09,0.09,-0.09,0.28,1,896.48,2013.72,0.83,0.17,"",""
"nativebeeabundance_landscape_shdi",0.09,0.09,-0.1,0.27,1,1210.59,1910.11,0.83,0.17,"",""
"nativebeeabundance_julian_date",-0.21,0.05,-0.3,-0.12,1,3700.52,3431.62,0,1,"","***"
"nativebeeabundance_Ijulian_dateE2",-0.26,0.05,-0.35,-0.17,1,4475.63,3153.97,0,1,"","***"
"nativebeeabundance_siteHR",0.21,0.26,-0.29,0.74,1,887.76,1507.16,0.79,0.21,"",""
"nativebeeabundance_siteNR",-0.31,0.3,-0.87,0.29,1,935.94,1587.92,0.15,0.85,"",""
"nativebeeabundance_sitePM",-0.08,0.27,-0.6,0.44,1,1033.72,1940.48,0.38,0.62,"",""
"nativebeeabundance_siteSD",0.07,0.28,-0.48,0.63,1,917.3,1365.1,0.59,0.41,"",""
"nativebeeabundance_siteW",0.28,0.26,-0.23,0.81,1,855.13,1424.21,0.86,0.14,"",""
"bombusshannondiversity_floral_diversity",-0.01,0.02,-0.05,0.03,1,3963.52,3640.8,0.31,0.69,"",""
"bombusshannondiversity_floral_abundance",0.02,0.02,-0.02,0.06,1,3595.21,3851.29,0.87,0.13,"",""
"bombusshannondiversity_julian_date",-0.05,0.02,-0.1,-0.01,1,4371.56,3925.24,0.01,0.99,"","***"
"bombusshannondiversity_Ijulian_dateE2",-0.08,0.03,-0.13,-0.03,1,4491.83,3693.38,0,1,"","***"
"bombusshannondiversity_siteHR",-0.01,0.06,-0.14,0.12,1,2313.65,3316.97,0.41,0.59,"",""
"bombusshannondiversity_siteNR",-0.02,0.07,-0.17,0.12,1,2232.95,2952.67,0.38,0.62,"",""
"bombusshannondiversity_sitePM",-0.04,0.07,-0.18,0.1,1,2293.71,3083.42,0.27,0.73,"",""
"bombusshannondiversity_siteSD",0.14,0.07,0,0.28,1,2359.81,2972.33,0.97,0.03,"**",""
"bombusshannondiversity_siteW",-0.01,0.07,-0.14,0.12,1,2758.41,3202.32,0.44,0.56,"",""
"bombusshannondiversity_prop_blueberry",0.01,0.03,-0.05,0.06,1,3115.3,3613.95,0.63,0.37,"",""
"bombusshannondiversity_prop_edge",0,0.02,-0.05,0.05,1,2990.44,3424.38,0.51,0.49,"",""
"bombusshannondiversity_landscape_shdi",-0.02,0.02,-0.07,0.03,1,3389.23,2831.47,0.21,0.79,"",""
"impatiensabundance_floral_abundance",0.14,0.07,0.02,0.27,1,2900.41,3843.03,0.99,0.01,"***",""
"impatiensabundance_floral_diversity",-0.11,0.05,-0.22,-0.01,1,2895.43,3436.16,0.02,0.98,"","***"
"impatiensabundance_prop_blueberry",-0.16,0.12,-0.39,0.07,1,1403.25,2113.94,0.09,0.91,"","*"
"impatiensabundance_prop_edge",-0.03,0.11,-0.24,0.18,1,1238.45,1719.9,0.38,0.62,"",""
"impatiensabundance_landscape_shdi",0.04,0.11,-0.18,0.25,1,1405.34,2386.8,0.65,0.35,"",""
"impatiensabundance_julian_date",0.63,0.11,0.43,0.85,1,2783.22,3355.6,1,0,"***",""
