"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"floraldiversity_Intercept",-0.02,0.04,-0.09,0.06,1,2339.7,3120.4,0.34,0.66,"",""
"floralabundance_Intercept",0.02,0.05,-0.08,0.11,1,1333.52,2149.02,0.63,0.37,"",""
"nativebeeabundance_Intercept",0.23,0.09,0.06,0.39,1,2166.21,3113.92,0.99,0.01,"***",""
"bombusshannondiversity_Intercept",-0.35,0.02,-0.39,-0.31,1,6263.64,4391.35,0,1,"","***"
"impatiensabundance_Intercept",-0.32,0.13,-0.58,-0.07,1,2504.9,3626.73,0.01,0.99,"","***"
"sppanycrithidia_Intercept",-2.94,0.48,-3.87,-2.02,1,4193.69,4068.53,0,1,"","***"
"floraldiversity_polyjulian_date21",9.68,0.94,7.85,11.56,1,9835.09,4071.23,1,0,"***",""
"floraldiversity_polyjulian_date22",-8.33,0.92,-10.15,-6.57,1,12450.17,3825.29,0,1,"","***"
"floralabundance_polyjulian_date21",-9.09,0.99,-11.02,-7.12,1,7799.71,4139.05,0,1,"","***"
"floralabundance_polyjulian_date22",-5.09,0.94,-6.98,-3.25,1,7837.7,3884.12,0,1,"","***"
"nativebeeabundance_floral_abundance",0.24,0.04,0.16,0.32,1,4307.56,3350.53,1,0,"***",""
"nativebeeabundance_floral_diversity",-0.13,0.04,-0.21,-0.05,1,6146.72,4150.41,0,1,"","***"
"nativebeeabundance_prop_blueberry",-0.09,0.08,-0.25,0.08,1,1970.46,3140.35,0.15,0.85,"",""
"nativebeeabundance_prop_edge",0.03,0.08,-0.13,0.18,1,1612.72,2816.22,0.65,0.35,"",""
"nativebeeabundance_landscape_shdi",0.1,0.09,-0.07,0.27,1,1811.35,2825.44,0.88,0.12,"",""
"nativebeeabundance_polyjulian_date21",-5.51,1.88,-9.21,-1.84,1,6376.39,4623.42,0,1,"","***"
"nativebeeabundance_polyjulian_date22",-10.61,1.83,-14.29,-7.05,1,8011.76,4257.35,0,1,"","***"
"bombusshannondiversity_floral_diversity",-0.01,0.02,-0.05,0.03,1,7449.86,4080.54,0.33,0.67,"",""
"bombusshannondiversity_floral_abundance",0.04,0.02,0,0.08,1,5143.16,3573.02,0.97,0.03,"**",""
"bombusshannondiversity_polyjulian_date21",-0.67,1.04,-2.69,1.36,1,6291.09,3870.42,0.26,0.74,"",""
"bombusshannondiversity_polyjulian_date22",-3.22,1.03,-5.3,-1.22,1,6634.14,4055.14,0,1,"","***"
"bombusshannondiversity_landscape_shdi",-0.03,0.02,-0.08,0.02,1,5334.25,4182.16,0.12,0.88,"",""
"bombusshannondiversity_prop_blueberry",-0.01,0.02,-0.05,0.04,1,7300.25,4361.82,0.36,0.64,"",""
"bombusshannondiversity_prop_edge",0.01,0.02,-0.03,0.06,1,5640.51,4128.03,0.72,0.28,"",""
"impatiensabundance_floral_abundance",0.17,0.06,0.04,0.29,1,4906.87,4022.89,1,0,"***",""
"impatiensabundance_floral_diversity",-0.1,0.05,-0.21,0.01,1,6102.02,4088.38,0.03,0.97,"","**"
"impatiensabundance_prop_blueberry",-0.04,0.1,-0.25,0.15,1,2212.85,3131.27,0.34,0.66,"",""
"impatiensabundance_prop_edge",0.09,0.1,-0.1,0.29,1,1893.76,2834.27,0.83,0.17,"",""
"impatiensabundance_landscape_shdi",0.03,0.11,-0.18,0.24,1,2150.94,2762.07,0.61,0.39,"",""
"impatiensabundance_polyjulian_date21",33.58,5.79,22.84,45.37,1,4566.64,3683.07,1,0,"***",""
"impatiensabundance_polyjulian_date22",-11.73,3.71,-19.24,-4.68,1,4764.39,3748.92,0,1,"","***"
"sppanycrithidia_bombus_shannon_diversity",0.36,0.31,-0.24,0.96,1,6369.39,3830.85,0.88,0.12,"",""
"sppanycrithidia_native_bee_abundance",-0.04,0.05,-0.15,0.06,1,7610.39,4174.63,0.21,0.79,"",""
"sppanycrithidia_impatiens_abundance",-0.11,0.07,-0.25,0.03,1,8078.71,4233.66,0.06,0.94,"","*"
"sppanycrithidia_floral_abundance",-0.09,0.13,-0.34,0.17,1,7604.43,3924.77,0.25,0.75,"",""
"sppanycrithidia_floral_diversity",0.18,0.12,-0.07,0.42,1,8644.36,4134.68,0.93,0.07,"*",""
"sppanycrithidia_prop_blueberry",-0.29,0.17,-0.64,0.03,1,7501.1,3888.01,0.04,0.96,"","**"
"sppanycrithidia_polyjulian_date21",0.11,0.98,-1.8,2.06,1,12395.7,3244.08,0.54,0.46,"",""
"sppanycrithidia_polyjulian_date22",-0.11,0.96,-2.01,1.77,1,13696.96,3348.21,0.46,0.54,"",""
"sppanycrithidia_final_idB.flavifrons",0.47,0.5,-0.51,1.43,1,3865.15,3961.93,0.83,0.17,"",""
"sppanycrithidia_final_idB.impatiens",-0.05,0.46,-0.95,0.86,1,3792.79,3632.53,0.45,0.55,"",""
"sppanycrithidia_final_idB.mixtus",0.53,0.44,-0.35,1.4,1,3690.95,3954.14,0.88,0.12,"",""
"sppanycrithidia_final_idB.rufocinctus",-0.56,0.58,-1.71,0.56,1,4933.49,3922.63,0.17,0.83,"",""
"sppanycrithidia_final_idB.vosnesenskii",1.02,0.51,0.04,2.02,1,3837.18,3672.7,0.98,0.02,"***",""
