"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"hascrithidia_Intercept",-1.5,0.66,-2.83,-0.21,1,17502.05,15892.34,0.01,0.99,"","***"
"apicystis_Intercept",-0.37,0.73,-1.81,1.05,1,15888.06,15382.91,0.31,0.69,"",""
"hascrithidia_floral_abundance",-0.06,0.26,-0.56,0.46,1,15232.24,14690.82,0.4,0.6,"",""
"hascrithidia_floral_diversity",0.05,0.2,-0.33,0.44,1,16652.07,14689.61,0.59,0.41,"",""
"hascrithidia_bombus_richness",0.17,0.31,-0.44,0.76,1,12406.3,13910.45,0.71,0.29,"",""
"hascrithidia_native_bee_abundance",0.1,0.13,-0.15,0.35,1,11772.97,14317.87,0.79,0.21,"",""
"hascrithidia_impatiens_abundance",-0.02,0.08,-0.17,0.13,1,22022.66,15243.8,0.39,0.61,"",""
"hascrithidia_prop_blueberry_500",0.19,0.29,-0.37,0.77,1,13509.73,13687.78,0.75,0.25,"",""
"hascrithidia_prop_edge_500",0.07,0.27,-0.46,0.62,1,13411.94,13478.63,0.6,0.4,"",""
"hascrithidia_landscape_shdi_500",0.08,0.3,-0.54,0.65,1,10753.11,12831.78,0.62,0.38,"",""
"hascrithidia_julian_date",0.39,0.44,-0.44,1.28,1,13601.41,14294.33,0.82,0.18,"",""
"hascrithidia_Ijulian_dateE2",-0.45,0.42,-1.29,0.38,1,15835.61,14433.87,0.14,0.86,"",""
"apicystis_floral_abundance",0.38,0.27,-0.14,0.91,1,16135.74,14018.36,0.92,0.08,"",""
"apicystis_floral_diversity",0.04,0.22,-0.39,0.46,1,17592.64,14079.55,0.57,0.43,"",""
"apicystis_bombus_richness",-0.63,0.37,-1.38,0.05,1,10959.74,11547.44,0.04,0.96,"","*"
"apicystis_native_bee_abundance",0.17,0.14,-0.09,0.44,1,13596.39,13720.1,0.9,0.1,"",""
"apicystis_impatiens_abundance",-0.08,0.09,-0.26,0.09,1,19051.17,13900.54,0.18,0.82,"",""
"apicystis_prop_blueberry_500",-0.16,0.28,-0.71,0.4,1,15777.38,13866.25,0.27,0.73,"",""
"apicystis_prop_edge_500",-0.24,0.28,-0.78,0.31,1,11311.94,12224.75,0.19,0.81,"",""
"apicystis_landscape_shdi_500",0.24,0.29,-0.34,0.81,1,12217.22,12672.76,0.79,0.21,"",""
"apicystis_julian_date",1.2,0.58,0.17,2.43,1,12899.08,10348.84,0.99,0.01,"***",""
"apicystis_Ijulian_dateE2",-1.25,0.52,-2.32,-0.29,1,11837.46,10163.22,0.01,0.99,"","***"
