"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"hascrithidia_Intercept",-1.76,1.12,-4,0.44,1,10079.83,12247.75,0.05,0.95,"","*"
"hasnosema_Intercept",-3.07,1.17,-5.36,-0.72,1,8403.23,12296.77,0.01,0.99,"","***"
"apicystis_Intercept",-2.38,0.76,-3.92,-0.93,1,18783.76,14907.02,0,1,"","***"
"hascrithidia_floral_abundance",-0.03,0.17,-0.37,0.31,1,16114.64,14519.77,0.44,0.56,"",""
"hascrithidia_floral_diversity",-0.05,0.16,-0.37,0.27,1,15034.13,14500.08,0.38,0.62,"",""
"hascrithidia_bombus_richness",-0.04,0.15,-0.34,0.25,1,18603.14,15219.31,0.39,0.61,"",""
"hascrithidia_native_bee_abundance",0,0.02,-0.05,0.04,1,17278.98,15611.26,0.48,0.52,"",""
"hascrithidia_impatiens_abundance",-0.2,0.08,-0.37,-0.04,1,16273.94,14073.05,0.01,0.99,"","***"
"hascrithidia_prop_blueberry_750",-0.58,0.26,-1.1,-0.08,1,13135.4,14146.67,0.01,0.99,"","***"
"hascrithidia_prop_edge_750",-0.16,0.23,-0.63,0.3,1,11095.64,12511.97,0.25,0.75,"",""
"hascrithidia_landscape_shdi_750",0.24,0.23,-0.22,0.7,1,12022.59,13387.74,0.85,0.15,"",""
"hascrithidia_casteworker",1.18,0.49,0.26,2.17,1,23002.2,15110.56,1,0,"***",""
"hascrithidia_julian_date",0.47,0.21,0.07,0.89,1,18049.74,14689.19,0.99,0.01,"***",""
"hascrithidia_Ijulian_dateE2",-0.29,0.21,-0.72,0.12,1,19033.09,15518.41,0.08,0.92,"",""
"hasnosema_floral_abundance",-0.19,0.27,-0.73,0.34,1,16027.58,13402.67,0.24,0.76,"",""
"hasnosema_floral_diversity",-0.1,0.27,-0.63,0.42,1,17060.1,14502.46,0.36,0.64,"",""
"hasnosema_bombus_richness",0.27,0.24,-0.19,0.75,1,10084.45,14152.76,0.87,0.13,"",""
"hasnosema_native_bee_abundance",0.01,0.03,-0.05,0.08,1,16581.24,15114.98,0.67,0.33,"",""
"hasnosema_impatiens_abundance",0.16,0.12,-0.09,0.4,1,11389.43,12995.46,0.9,0.1,"",""
"hasnosema_prop_blueberry_750",0.24,0.44,-0.63,1.1,1,14162.09,13277.97,0.71,0.29,"",""
"hasnosema_prop_edge_750",0.23,0.39,-0.5,1.03,1,10714.59,12561.31,0.72,0.28,"",""
"hasnosema_landscape_shdi_750",0.47,0.41,-0.32,1.3,1,13859.94,14180.79,0.89,0.11,"",""
"hasnosema_casteworker",-0.71,0.56,-1.8,0.41,1,22022.94,14853.66,0.1,0.9,"",""
"hasnosema_julian_date",-0.47,0.38,-1.27,0.23,1,13461.25,12599.92,0.1,0.9,"",""
"hasnosema_Ijulian_dateE2",0.06,0.35,-0.66,0.72,1,13569.48,12987.26,0.59,0.41,"",""
"apicystis_floral_abundance",0.17,0.18,-0.2,0.51,1,15210.67,14179.64,0.82,0.18,"",""
"apicystis_floral_diversity",-0.39,0.17,-0.72,-0.05,1,20595.86,15413.69,0.01,0.99,"","***"
"apicystis_bombus_richness",0.02,0.17,-0.31,0.35,1,16400.65,16138.26,0.56,0.44,"",""
"apicystis_native_bee_abundance",-0.04,0.03,-0.09,0.02,1,21505.85,16068.66,0.09,0.91,"",""
"apicystis_impatiens_abundance",-0.1,0.08,-0.27,0.06,1,18426.47,15586.99,0.12,0.88,"",""
"apicystis_prop_blueberry_750",-0.6,0.28,-1.17,-0.08,1,17582.15,13838.08,0.01,0.99,"","***"
"apicystis_prop_edge_750",0.09,0.21,-0.33,0.51,1,14765.98,14934.36,0.67,0.33,"",""
"apicystis_landscape_shdi_750",-0.12,0.23,-0.57,0.34,1,14147.71,13636.33,0.29,0.71,"",""
"apicystis_casteworker",0.78,0.59,-0.29,2.01,1,22362.93,14246.32,0.92,0.08,"",""
"apicystis_julian_date",0.48,0.22,0.06,0.92,1,19336.42,15094.05,0.99,0.01,"***",""
"apicystis_Ijulian_dateE2",-0.26,0.25,-0.76,0.21,1,23620.52,13775.93,0.15,0.85,"",""
