"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"floraldiversity_Intercept",0.05,0.05,-0.04,0.14,1,5517.62,7401.11,0.87,0.13,"",""
"floralabundance_Intercept",0.17,0.05,0.08,0.26,1,4579.71,6783.06,1,0,"***",""
"nativebeeabundance_Intercept",0.27,0.08,0.09,0.42,1,5052.67,6976.43,1,0,"***",""
"bombusshannondiversity_Intercept",-0.34,0.02,-0.39,-0.3,1,14331.29,8048.73,0,1,"","***"
"impatiensabundance_Intercept",-0.25,0.13,-0.51,-0.01,1,5522.9,7060.28,0.02,0.98,"","***"
"nbombii_Intercept",-0.99,1.14,-3.32,1.21,1,7962.65,7752.43,0.19,0.81,"",""
"floraldiversity_polyjulian_date21",13.02,1.78,9.47,16.48,1,17756.15,7737.84,1,0,"***",""
"floraldiversity_polyjulian_date22",-7.91,1.79,-11.41,-4.31,1,18664.06,7969.17,0,1,"","***"
"floralabundance_polyjulian_date21",-17.86,1.84,-21.46,-14.31,1,13409.73,8557.72,0,1,"","***"
"floralabundance_polyjulian_date22",-4.34,1.8,-7.81,-0.81,1,13747.4,7530.42,0.01,0.99,"","***"
"nativebeeabundance_floral_abundance",0.24,0.04,0.16,0.32,1,9083.99,8580.15,1,0,"***",""
"nativebeeabundance_floral_diversity",-0.13,0.04,-0.21,-0.05,1,11813.08,8724.42,0,1,"","***"
"nativebeeabundance_prop_blueberry",-0.06,0.08,-0.23,0.1,1,3838.61,6208.18,0.23,0.77,"",""
"nativebeeabundance_prop_edge",0.04,0.08,-0.13,0.19,1,3322.66,4803,0.68,0.32,"",""
"nativebeeabundance_landscape_shdi",0.1,0.09,-0.08,0.27,1,3586.18,5160.38,0.87,0.13,"",""
"nativebeeabundance_polyjulian_date21",-9.59,2.47,-14.47,-4.73,1,13747.65,7411.44,0,1,"","***"
"nativebeeabundance_polyjulian_date22",-12.72,2.25,-17.19,-8.37,1,15809.79,7451.97,0,1,"","***"
"bombusshannondiversity_floral_diversity",-0.01,0.02,-0.05,0.03,1,16113.05,8448.19,0.33,0.67,"",""
"bombusshannondiversity_floral_abundance",0.04,0.02,0,0.08,1,12547.04,7800.5,0.97,0.03,"**",""
"bombusshannondiversity_polyjulian_date21",-1.51,1.23,-3.92,0.91,1,13724.76,8440,0.11,0.89,"",""
"bombusshannondiversity_polyjulian_date22",-3.88,1.25,-6.38,-1.44,1,18334.03,7625.9,0,1,"","***"
"bombusshannondiversity_landscape_shdi",-0.03,0.02,-0.08,0.02,1,10722.87,8469.17,0.11,0.89,"",""
"bombusshannondiversity_prop_blueberry",-0.01,0.02,-0.05,0.04,1,14017.49,8861.36,0.36,0.64,"",""
"bombusshannondiversity_prop_edge",0.01,0.02,-0.03,0.06,1,9982.25,8305.47,0.72,0.28,"",""
"impatiensabundance_floral_abundance",0.17,0.06,0.04,0.3,1,8976.54,7817.91,1,0,"***",""
"impatiensabundance_floral_diversity",-0.1,0.05,-0.2,0,1,10383.25,8603,0.03,0.97,"","**"
"impatiensabundance_prop_blueberry",-0.04,0.1,-0.24,0.17,1,4276.92,5868.88,0.36,0.64,"",""
"impatiensabundance_prop_edge",0.09,0.1,-0.11,0.3,1,3482.35,5072.37,0.82,0.18,"",""
"impatiensabundance_landscape_shdi",0.04,0.11,-0.18,0.25,1,3609.98,5499.97,0.64,0.36,"",""
"impatiensabundance_polyjulian_date21",40.17,6.74,27.38,53.9,1,10377.1,7621.93,1,0,"***",""
"impatiensabundance_polyjulian_date22",-14.07,4.4,-22.94,-5.72,1,11079.57,8257.75,0,1,"","***"
"nbombii_bombus_shannon_diversity",0.57,0.7,-0.78,1.95,1,11757.22,7717.87,0.8,0.2,"",""
"nbombii_native_bee_abundance",0.04,0.04,-0.03,0.11,1,12418.85,7696.59,0.85,0.15,"",""
"nbombii_impatiens_abundance",0.2,0.15,-0.09,0.5,1,9023.1,7519.33,0.92,0.08,"*",""
"nbombii_floral_abundance",-0.32,0.34,-0.99,0.34,1,9248.46,7395.58,0.17,0.83,"",""
"nbombii_floral_diversity",-0.03,0.31,-0.66,0.58,1,11258.01,7980.29,0.46,0.54,"",""
"nbombii_prop_blueberry",0.59,0.52,-0.41,1.67,1,7140.2,6811.13,0.88,0.12,"",""
"nbombii_polyjulian_date21",-37.51,23.23,-85.15,6.44,1,8755.48,7292.39,0.05,0.95,"","**"
"nbombii_polyjulian_date22",6.16,19.42,-33.27,43.24,1,8482.63,5763.48,0.64,0.36,"",""
"nbombii_final_idB.flavifrons",-4.16,1.24,-6.79,-1.86,1,4300.71,4373.67,0,1,"","***"
"nbombii_final_idB.impatiens",-6.32,1.38,-9.24,-3.86,1,5231.72,5658.93,0,1,"","***"
"nbombii_final_idB.mixtus",-3.25,1.05,-5.47,-1.33,1,4816.77,4575.14,0,1,"","***"
"nbombii_final_idB.rufocinctus",-3.2,1.31,-6.02,-0.8,1,5950.81,6768.14,0,1,"","***"
"nbombii_final_idB.vosnesenskii",-5.02,1.64,-8.7,-2.27,1,7731.35,6823.66,0,1,"","***"
