"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"floraldiversity_Intercept",0.17,0.05,0.08,0.26,1,2380.51,3550.43,1,0,"***",""
"floralabundance_Intercept",0.14,0.05,0.04,0.24,1,1425.51,2420.66,1,0,"***",""
"nativebeeabundance_Intercept",-0.08,0.09,-0.27,0.11,1,3392.2,3615.52,0.21,0.79,"",""
"bombusshannondiversity_Intercept",-0.27,0.03,-0.33,-0.22,1,7296.8,4641.9,0,1,"","***"
"impatiensabundance_Intercept",-0.97,0.1,-1.18,-0.77,1,4214.12,3514.6,0,1,"","***"
"nbombii_Intercept",-1.08,1.25,-3.6,1.32,1,3315.32,3655.01,0.19,0.81,"",""
"floraldiversity_julian_date",0.15,0.02,0.11,0.2,1,8802.91,4158.63,1,0,"***",""
"floraldiversity_Ijulian_dateE2",-0.2,0.02,-0.25,-0.16,1,9277.05,4094.23,0,1,"","***"
"floralabundance_julian_date",-0.24,0.02,-0.28,-0.2,1,8964.4,4335.93,0,1,"","***"
"floralabundance_Ijulian_dateE2",-0.12,0.02,-0.17,-0.08,1,8554.11,4078,0,1,"","***"
"nativebeeabundance_floral_abundance",0.54,0.06,0.44,0.65,1,5413.1,4339.65,1,0,"***",""
"nativebeeabundance_floral_diversity",0.06,0.05,-0.05,0.17,1,6547.13,4221.78,0.85,0.15,"",""
"nativebeeabundance_prop_blueberry",-0.18,0.08,-0.34,-0.02,1,2781.11,3575.67,0.02,0.98,"","***"
"nativebeeabundance_prop_edge",0.16,0.08,0,0.32,1,2714.36,3786.35,0.97,0.03,"**",""
"nativebeeabundance_landscape_shdi",-0.06,0.09,-0.24,0.11,1,2598.57,3298.27,0.23,0.77,"",""
"nativebeeabundance_julian_date",-0.16,0.05,-0.25,-0.05,1,7428.6,4178.74,0,1,"","***"
"nativebeeabundance_Ijulian_dateE2",-0.43,0.06,-0.54,-0.32,1,8324.3,4362.53,0,1,"","***"
"bombusshannondiversity_floral_diversity",-0.01,0.02,-0.05,0.03,1,6871.15,3991.65,0.32,0.68,"",""
"bombusshannondiversity_floral_abundance",0.04,0.02,0,0.08,1,5050.92,4420.3,0.96,0.04,"**",""
"bombusshannondiversity_julian_date",-0.04,0.02,-0.08,0,1,7205.22,3965.64,0.04,0.96,"","**"
"bombusshannondiversity_Ijulian_dateE2",-0.08,0.02,-0.13,-0.03,1,7637.69,3352.12,0,1,"","***"
"bombusshannondiversity_landscape_shdi",-0.03,0.02,-0.07,0.02,1,5298.54,4182.98,0.11,0.89,"",""
"bombusshannondiversity_prop_blueberry",-0.01,0.02,-0.05,0.04,1,7249,4382.48,0.37,0.63,"",""
"bombusshannondiversity_prop_edge",0.01,0.02,-0.03,0.06,1,5010.72,3894.62,0.73,0.27,"",""
"impatiensabundance_floral_abundance",0.4,0.07,0.27,0.53,1,5149.65,3626.18,1,0,"***",""
"impatiensabundance_floral_diversity",-0.05,0.06,-0.16,0.07,1,5603.29,3829.93,0.21,0.79,"",""
"impatiensabundance_prop_blueberry",-0.11,0.09,-0.29,0.06,1,2996.59,3610.17,0.1,0.9,"","*"
"impatiensabundance_prop_edge",0.14,0.09,-0.03,0.32,1,2574.79,3338.74,0.94,0.06,"*",""
"impatiensabundance_landscape_shdi",0.01,0.09,-0.17,0.19,1,2501.39,3159.24,0.55,0.45,"",""
"impatiensabundance_julian_date",1.11,0.07,0.98,1.25,1,6429.16,4121.84,1,0,"***",""
"impatiensabundance_Ijulian_dateE2",-0.26,0.07,-0.41,-0.12,1,7845.03,4030.38,0,1,"","***"
"nbombii_bombus_shannon_diversity",0.59,0.69,-0.75,2,1,5223.29,3989.03,0.81,0.19,"",""
"nbombii_native_bee_abundance",0.04,0.04,-0.03,0.12,1,5458.15,3509.97,0.86,0.14,"",""
"nbombii_impatiens_abundance",0.19,0.15,-0.09,0.48,1,5027.16,3860.16,0.92,0.08,"*",""
"nbombii_floral_abundance",-0.33,0.34,-1.02,0.32,1,4721.88,3538.22,0.17,0.83,"",""
"nbombii_floral_diversity",-0.03,0.31,-0.62,0.59,1,5264.85,4221.48,0.46,0.54,"",""
"nbombii_prop_blueberry",0.58,0.53,-0.41,1.7,1,3317.74,2673.7,0.88,0.12,"",""
"nbombii_julian_date",-0.62,0.42,-1.47,0.17,1,3969.97,3204.36,0.07,0.93,"","*"
"nbombii_Ijulian_dateE2",0.13,0.39,-0.65,0.86,1,4025.03,3643.44,0.64,0.36,"",""
"nbombii_final_idB.flavifrons",-4.12,1.25,-6.72,-1.8,1,2066.33,2339.19,0,1,"","***"
"nbombii_final_idB.impatiens",-6.28,1.41,-9.23,-3.7,1,2600.81,3255.37,0,1,"","***"
"nbombii_final_idB.mixtus",-3.2,1.05,-5.32,-1.21,1,2320.51,2723.67,0,1,"","***"
"nbombii_final_idB.rufocinctus",-3.16,1.3,-5.82,-0.76,1,2863.45,3428.87,0,1,"","***"
"nbombii_final_idB.vosnesenskii",-4.95,1.61,-8.68,-2.23,1,3597.27,3144.41,0,1,"","***"
