"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"floraldiversity_Intercept",0.22,0.1,0.03,0.41,1,1813.97,2933.13,0.99,0.01,"***",""
"floralabundance_Intercept",0.19,0.12,-0.03,0.42,1,1186.47,1921.89,0.95,0.05,"**",""
"nativebeeabundance_Intercept",0.46,0.19,0.07,0.83,1,1344.16,2445.09,0.99,0.01,"***",""
"bombusshannondiversity_Intercept",-0.27,0.05,-0.36,-0.17,1,3649.19,3636.9,0,1,"","***"
"impatiensabundance_Intercept",0.41,0.19,0.03,0.79,1,1748.4,2763.18,0.98,0.02,"***",""
"floraldiversity_julian_date",0.15,0.02,0.11,0.2,1,9287.41,4143.34,1,0,"***",""
"floraldiversity_Ijulian_dateE2",-0.2,0.02,-0.25,-0.16,1,9057.1,4107.79,0,1,"","***"
"floraldiversity_siteHR",0.2,0.14,-0.07,0.46,1,1916.31,2863.92,0.92,0.07,"*",""
"floraldiversity_siteNR",-0.22,0.14,-0.5,0.04,1,1912.6,2809.37,0.05,0.95,"","**"
"floraldiversity_sitePM",-0.12,0.13,-0.38,0.14,1,1742.07,2704.46,0.19,0.81,"",""
"floraldiversity_siteSD",-0.06,0.14,-0.35,0.22,1,1870.01,2866.38,0.33,0.67,"",""
"floraldiversity_siteW",-0.11,0.14,-0.38,0.15,1,1968.19,3186.2,0.21,0.79,"",""
"floralabundance_julian_date",-0.24,0.02,-0.28,-0.2,1,9148.61,4040.73,0,1,"","***"
"floralabundance_Ijulian_dateE2",-0.12,0.02,-0.17,-0.08,1,9208,3646.11,0,1,"","***"
"floralabundance_siteHR",0,0.16,-0.33,0.31,1,1250.14,1949.02,0.49,0.51,"",""
"floralabundance_siteNR",-0.05,0.16,-0.37,0.25,1,1300.94,2407.24,0.39,0.61,"",""
"floralabundance_sitePM",-0.17,0.15,-0.47,0.13,1,1290.18,2058.31,0.13,0.87,"",""
"floralabundance_siteSD",0.13,0.17,-0.22,0.44,1,1155.8,2087.31,0.77,0.23,"",""
"floralabundance_siteW",-0.13,0.16,-0.46,0.18,1,1182.03,2030.3,0.21,0.79,"",""
"nativebeeabundance_floral_abundance",0.24,0.04,0.16,0.32,1,5183.53,4359.81,1,0,"***",""
"nativebeeabundance_floral_diversity",-0.13,0.04,-0.21,-0.05,1,5601.23,3947.98,0,1,"","***"
"nativebeeabundance_prop_blueberry",0.03,0.11,-0.18,0.25,1,2056.74,2920.35,0.62,0.38,"",""
"nativebeeabundance_prop_edge",0.09,0.09,-0.09,0.28,1,1881.02,2824.93,0.83,0.17,"",""
"nativebeeabundance_landscape_shdi",0.09,0.09,-0.09,0.27,1,1996.52,2921.88,0.84,0.16,"",""
"nativebeeabundance_julian_date",-0.2,0.04,-0.29,-0.11,1,6833.88,3626.07,0,1,"","***"
"nativebeeabundance_Ijulian_dateE2",-0.26,0.04,-0.35,-0.17,1,7888.5,4533.98,0,1,"","***"
"nativebeeabundance_siteHR",0.2,0.26,-0.31,0.71,1,1251.79,2121.48,0.78,0.22,"",""
"nativebeeabundance_siteNR",-0.34,0.3,-0.93,0.26,1,1736.12,2870.68,0.13,0.87,"",""
"nativebeeabundance_sitePM",-0.13,0.27,-0.65,0.4,1,1474.51,2591.09,0.33,0.67,"",""
"nativebeeabundance_siteSD",0.03,0.29,-0.55,0.6,1,1381.21,1761.87,0.55,0.45,"",""
"nativebeeabundance_siteW",0.28,0.26,-0.24,0.8,1,1531.03,2525.89,0.85,0.15,"",""
"bombusshannondiversity_floral_diversity",-0.01,0.02,-0.05,0.03,1,7095.68,3503.65,0.3,0.7,"",""
"bombusshannondiversity_floral_abundance",0.03,0.02,-0.02,0.07,1,6561.35,3909.53,0.88,0.12,"",""
"bombusshannondiversity_julian_date",-0.05,0.02,-0.1,-0.01,1,7634.03,4096.41,0.01,0.99,"","***"
"bombusshannondiversity_Ijulian_dateE2",-0.08,0.02,-0.13,-0.03,1,9126.12,4124.69,0,1,"","***"
"bombusshannondiversity_siteHR",-0.02,0.06,-0.14,0.11,1,3504.21,3664.5,0.39,0.61,"",""
"bombusshannondiversity_siteNR",-0.02,0.07,-0.17,0.12,1,3595.12,3929.19,0.36,0.64,"",""
"bombusshannondiversity_sitePM",-0.04,0.07,-0.18,0.1,1,4056.85,4125.06,0.27,0.73,"",""
"bombusshannondiversity_siteSD",0.14,0.07,0,0.27,1,3809.16,3978.86,0.98,0.03,"***",""
"bombusshannondiversity_siteW",-0.01,0.07,-0.15,0.12,1,4658.8,3579.57,0.41,0.59,"",""
"bombusshannondiversity_prop_blueberry",0.01,0.03,-0.05,0.06,1,5335.48,4106.85,0.62,0.38,"",""
"bombusshannondiversity_prop_edge",0,0.02,-0.05,0.05,1,4461.08,3954.53,0.52,0.48,"",""
"bombusshannondiversity_landscape_shdi",-0.02,0.02,-0.07,0.03,1,5382.76,3938.33,0.22,0.78,"",""
"impatiensabundance_floral_abundance",0.14,0.07,0.01,0.27,1,5732.2,4178.88,0.98,0.02,"***",""
"impatiensabundance_floral_diversity",-0.11,0.05,-0.22,0,1,5783.67,4350.21,0.02,0.98,"","***"
"impatiensabundance_prop_blueberry",-0.16,0.12,-0.39,0.08,1,2288.34,2972.43,0.09,0.91,"","*"
"impatiensabundance_prop_edge",-0.03,0.11,-0.24,0.18,1,2006.18,3249.51,0.39,0.61,"",""
"impatiensabundance_landscape_shdi",0.04,0.11,-0.17,0.25,1,2349.05,3095.18,0.64,0.36,"",""
"impatiensabundance_julian_date",0.63,0.11,0.43,0.85,1,4559.29,3484.43,1,0,"***",""
"impatiensabundance_Ijulian_dateE2",-0.28,0.09,-0.47,-0.11,1,4997.8,3624.54,0,1,"","***"
"impatiensabundance_siteHR",-0.51,0.29,-1.08,0.03,1,1945.67,2359.73,0.03,0.97,"","**"
"impatiensabundance_siteNR",-0.1,0.29,-0.67,0.48,1,1582.34,2565.21,0.36,0.64,"",""
"impatiensabundance_sitePM",-1.05,0.31,-1.68,-0.45,1,2348.73,3578.02,0,1,"","***"
"impatiensabundance_siteSD",-0.16,0.28,-0.71,0.38,1,1641.31,2631.76,0.28,0.72,"",""
"impatiensabundance_siteW",-1.35,0.32,-2.02,-0.72,1,2833.91,3492.52,0,1,"","***"
