"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"hascrithidia_Intercept",-1.71,1.04,-3.83,0.31,1,14499.9,14654.35,0.05,0.95,"","*"
"hasnosema_Intercept",-2.93,1.24,-5.26,-0.44,1,13865.48,15886.89,0.01,0.99,"","***"
"apicystis_Intercept",-1.92,0.71,-3.35,-0.56,1,25159.47,16219.96,0,1,"","***"
"hascrithidia_floral_abundance",-0.04,0.13,-0.31,0.22,1,26897.25,17259.1,0.38,0.62,"",""
"hascrithidia_floral_diversity",-0.05,0.12,-0.28,0.18,1,25678.71,15096.8,0.32,0.68,"",""
"hascrithidia_bombus_richness",0.01,0.12,-0.24,0.25,1,23166.72,16448.49,0.51,0.49,"",""
"hascrithidia_native_bee_abundance",-0.01,0.02,-0.05,0.03,1,27450.9,16532.97,0.4,0.6,"",""
"hascrithidia_statusnonnative",-1.36,0.96,-3.28,0.57,1,11582.21,11483.79,0.07,0.93,"",""
"hascrithidia_impatiens_abundance",-0.16,0.07,-0.3,-0.02,1,18760.2,16717.52,0.01,0.99,"","***"
"hascrithidia_prop_blueberry_500",-0.09,0.2,-0.49,0.3,1,18812.6,15221.68,0.32,0.68,"",""
"hascrithidia_prop_edge_500",-0.19,0.15,-0.47,0.1,1,19314.79,15445.03,0.09,0.91,"",""
"hascrithidia_landscape_shdi_500",0.14,0.16,-0.18,0.46,1,16882.06,15447.05,0.81,0.19,"",""
"hascrithidia_casteworker",1.3,0.46,0.43,2.23,1,32300.57,15377.92,1,0,"***",""
"hascrithidia_julian_date",0.4,0.16,0.1,0.72,1,25230.25,16118.71,0.99,0.01,"***",""
"hascrithidia_Ijulian_dateE2",-0.37,0.16,-0.7,-0.06,1,28917.74,15534.29,0.01,0.99,"","***"
"hascrithidia_native_bee_abundance:statusnonnative",0.16,0.08,0.01,0.31,1,24318.7,16521.02,0.98,0.02,"**",""
"hascrithidia_statusnonnative:impatiens_abundance",0.14,0.1,-0.05,0.33,1,20932.41,16346.92,0.92,0.08,"",""
"hasnosema_floral_abundance",-0.17,0.27,-0.7,0.36,1,19040.92,15242.67,0.27,0.73,"",""
"hasnosema_floral_diversity",0.03,0.26,-0.46,0.53,1,25181.7,16784.86,0.55,0.45,"",""
"hasnosema_bombus_richness",0.28,0.23,-0.18,0.73,1,16745.36,15624.58,0.88,0.12,"",""
"hasnosema_native_bee_abundance",0.02,0.03,-0.04,0.09,1,24814.16,15233.83,0.78,0.22,"",""
"hasnosema_statusnonnative",-1.72,1.72,-5.42,1.33,1,19896.15,13470.68,0.15,0.85,"",""
"hasnosema_impatiens_abundance",0.21,0.13,-0.05,0.46,1,15633.53,15489.71,0.95,0.05,"*",""
"hasnosema_prop_blueberry_500",0.59,0.41,-0.19,1.43,1,18496.38,13432.18,0.93,0.07,"",""
"hasnosema_prop_edge_500",0.04,0.31,-0.54,0.66,1,14024.41,14077.09,0.54,0.46,"",""
"hasnosema_landscape_shdi_500",0.17,0.37,-0.57,0.89,1,14651.17,15485.51,0.69,0.31,"",""
"hasnosema_casteworker",-0.79,0.56,-1.87,0.33,1,33038.75,15897.91,0.08,0.92,"",""
"hasnosema_julian_date",-0.39,0.34,-1.08,0.25,1,20361.93,15991.55,0.12,0.88,"",""
"hasnosema_Ijulian_dateE2",0.2,0.32,-0.46,0.82,1,20927.57,16030.01,0.75,0.25,"",""
"hasnosema_native_bee_abundance:statusnonnative",-6.2,8.66,-24.6,-0.52,1,3179.01,1484.3,0,1,"","***"
"hasnosema_statusnonnative:impatiens_abundance",0.01,0.33,-0.64,0.67,1,18588.52,14124.3,0.51,0.49,"",""
"apicystis_floral_abundance",0.08,0.16,-0.23,0.38,1,20108.98,15353.34,0.71,0.29,"",""
"apicystis_floral_diversity",-0.23,0.14,-0.5,0.03,1,23488.83,16636.58,0.04,0.96,"","*"
"apicystis_bombus_richness",-0.11,0.15,-0.41,0.19,1,17366.98,16003.05,0.24,0.76,"",""
"apicystis_native_bee_abundance",-0.02,0.03,-0.08,0.03,1,24678.16,14896.98,0.23,0.77,"",""
"apicystis_statusnonnative",0.08,0.47,-0.84,0.98,1,20327.39,16016.77,0.57,0.43,"",""
"apicystis_impatiens_abundance",-0.05,0.08,-0.21,0.1,1,18378.75,15397.12,0.26,0.74,"",""
"apicystis_prop_blueberry_500",-0.23,0.2,-0.63,0.17,1,21526.75,16374.36,0.13,0.87,"",""
"apicystis_prop_edge_500",-0.03,0.16,-0.33,0.28,1,19229.35,16183.64,0.44,0.56,"",""
"apicystis_landscape_shdi_500",-0.06,0.17,-0.4,0.28,1,18353.3,16809.55,0.37,0.63,"",""
"apicystis_casteworker",0.72,0.57,-0.34,1.9,1,35662.33,15471.43,0.9,0.1,"",""
"apicystis_julian_date",0.5,0.18,0.14,0.86,1,25851.75,15897.51,1,0,"***",""
"apicystis_Ijulian_dateE2",-0.38,0.2,-0.79,0.01,1,29259.84,16433.86,0.03,0.97,"","*"
"apicystis_native_bee_abundance:statusnonnative",0,0.08,-0.16,0.16,1,24506.58,16888.78,0.52,0.48,"",""
"apicystis_statusnonnative:impatiens_abundance",-0.02,0.11,-0.23,0.2,1,18065.49,15620.11,0.44,0.56,"",""
