"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"hascrithidia_Intercept",-1.78,1.05,-3.91,0.31,1,11201.03,12156.11,0.04,0.96,"","*"
"hasnosema_Intercept",-2.99,1.18,-5.23,-0.57,1,12717.46,15423.44,0.01,0.99,"","***"
"apicystis_Intercept",-1.98,0.71,-3.41,-0.63,1,18720.97,13291.75,0,1,"","***"
"hascrithidia_floral_abundance",-0.04,0.14,-0.31,0.22,1,19368.2,16011.32,0.38,0.62,"",""
"hascrithidia_floral_diversity",-0.04,0.12,-0.27,0.19,1,20313.38,15086,0.35,0.65,"",""
"hascrithidia_bombus_richness",0.01,0.12,-0.23,0.25,1,17912.98,16139.96,0.53,0.47,"",""
"hascrithidia_native_bee_abundance",0,0.02,-0.04,0.04,1,18755.48,15038.65,0.43,0.57,"",""
"hascrithidia_statusnonnative",-1.33,0.97,-3.25,0.64,1,10065.68,10655.51,0.07,0.93,"",""
"hascrithidia_impatiens_abundance",-0.17,0.07,-0.31,-0.03,1,14508.41,14592.79,0.01,0.99,"","***"
"hascrithidia_prop_blueberry_500",-0.18,0.2,-0.57,0.22,1,14964.36,14587.02,0.18,0.82,"",""
"hascrithidia_prop_edge_500",-0.18,0.16,-0.49,0.13,1,13883.56,14743.6,0.12,0.88,"",""
"hascrithidia_landscape_shdi_500",0.17,0.18,-0.2,0.52,1,12687.46,13810.65,0.82,0.18,"",""
"hascrithidia_casteworker",1.28,0.46,0.41,2.21,1,26860.1,14489.51,1,0,"***",""
"hascrithidia_julian_date",0.41,0.16,0.1,0.72,1,20911.11,16220.76,1,0,"***",""
"hascrithidia_Ijulian_dateE2",-0.37,0.16,-0.69,-0.06,1,25378.4,15130.24,0.01,0.99,"","***"
"hascrithidia_native_bee_abundance:statusnonnative",0.15,0.08,0,0.3,1,18817.82,14695.96,0.98,0.02,"**",""
"hascrithidia_statusnonnative:impatiens_abundance",0.14,0.1,-0.05,0.33,1,16384.99,15744.59,0.93,0.07,"",""
"hasnosema_floral_abundance",-0.19,0.27,-0.72,0.33,1,15663.79,15254.65,0.24,0.76,"",""
"hasnosema_floral_diversity",0.01,0.25,-0.48,0.5,1,20243.55,14877.83,0.52,0.48,"",""
"hasnosema_bombus_richness",0.27,0.23,-0.18,0.73,1,14431.42,14743.7,0.88,0.12,"",""
"hasnosema_native_bee_abundance",0.02,0.03,-0.04,0.09,1,19042.41,15050.12,0.77,0.23,"",""
"hasnosema_statusnonnative",-1.82,1.71,-5.51,1.22,1,16535.17,13532.66,0.13,0.87,"",""
"hasnosema_impatiens_abundance",0.2,0.12,-0.05,0.44,1,11982.69,14272.8,0.94,0.06,"",""
"hasnosema_prop_blueberry_500",0.45,0.43,-0.38,1.32,1,14996.29,13246.81,0.86,0.14,"",""
"hasnosema_prop_edge_500",0,0.31,-0.58,0.64,1,11443.86,12233.58,0.49,0.51,"",""
"hasnosema_landscape_shdi_500",0.4,0.4,-0.38,1.22,1,13252.92,13496.46,0.85,0.15,"",""
"hasnosema_casteworker",-0.78,0.56,-1.85,0.35,1,24717.18,14784.48,0.08,0.92,"",""
"hasnosema_julian_date",-0.36,0.34,-1.05,0.29,1,15490.4,13748.31,0.14,0.86,"",""
"hasnosema_Ijulian_dateE2",0.18,0.32,-0.47,0.79,1,15212.01,15044.44,0.72,0.28,"",""
"hasnosema_native_bee_abundance:statusnonnative",-5.56,6.21,-21.88,-0.47,1,6072.74,3800.36,0,1,"","***"
"hasnosema_statusnonnative:impatiens_abundance",0.02,0.34,-0.63,0.7,1,14668.37,12443.36,0.52,0.48,"",""
"apicystis_floral_abundance",0.1,0.16,-0.21,0.4,1,15133.63,15298.41,0.73,0.27,"",""
"apicystis_floral_diversity",-0.23,0.13,-0.49,0.04,1,18856.79,15244.3,0.05,0.95,"","*"
"apicystis_bombus_richness",-0.09,0.15,-0.39,0.19,1,15144.51,15854.95,0.26,0.74,"",""
"apicystis_native_bee_abundance",-0.02,0.03,-0.08,0.03,1,20700.49,15290.02,0.23,0.77,"",""
"apicystis_statusnonnative",0.11,0.46,-0.79,0.99,1,15893.64,14217.42,0.61,0.39,"",""
"apicystis_impatiens_abundance",-0.05,0.08,-0.21,0.1,1,15012.15,13172.56,0.25,0.75,"",""
"apicystis_prop_blueberry_500",-0.34,0.2,-0.74,0.04,1,17984.42,15073.5,0.04,0.96,"","*"
"apicystis_prop_edge_500",-0.08,0.16,-0.39,0.23,1,14454.3,14873.05,0.31,0.69,"",""
"apicystis_landscape_shdi_500",0,0.19,-0.36,0.37,1,14085.39,13781.68,0.5,0.5,"",""
"apicystis_casteworker",0.71,0.57,-0.34,1.92,1,27807.33,15284.68,0.9,0.1,"",""
"apicystis_julian_date",0.5,0.18,0.15,0.86,1,20612.22,16438.58,1,0,"***",""
"apicystis_Ijulian_dateE2",-0.39,0.2,-0.79,0,1,24390.67,15167.78,0.03,0.97,"","*"
"apicystis_native_bee_abundance:statusnonnative",0,0.08,-0.16,0.16,1,18956.5,15720.59,0.5,0.5,"",""
"apicystis_statusnonnative:impatiens_abundance",-0.02,0.11,-0.23,0.2,1,14969.19,13574.31,0.44,0.56,"",""
