"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"hascrithidia_Intercept",-1.78,1.11,-4.04,0.38,1,12289.58,13255.28,0.05,0.95,"","*"
"hasnosema_Intercept",-2.97,1.16,-5.23,-0.6,1,10863.38,13247.87,0.01,0.99,"","***"
"apicystis_Intercept",-2.31,0.76,-3.88,-0.85,1,24326.66,16188.25,0,1,"","***"
"hascrithidia_floral_abundance",-0.06,0.17,-0.4,0.28,1,19915.71,15748.17,0.37,0.63,"",""
"hascrithidia_floral_diversity",-0.05,0.16,-0.37,0.27,1,16460.21,15815.06,0.38,0.62,"",""
"hascrithidia_bombus_richness",-0.04,0.15,-0.33,0.25,1,23183.1,15713.57,0.4,0.6,"",""
"hascrithidia_native_bee_abundance",0,0.02,-0.04,0.04,1,21630.74,14938.12,0.51,0.49,"",""
"hascrithidia_impatiens_abundance",-0.2,0.08,-0.37,-0.04,1,19900.43,14642.43,0.01,0.99,"","***"
"hascrithidia_prop_blueberry_500",-0.54,0.28,-1.1,0,1,17955.73,15418.87,0.03,0.97,"","*"
"hascrithidia_prop_edge_500",-0.28,0.2,-0.68,0.09,1,15728.6,14824.01,0.07,0.93,"",""
"hascrithidia_landscape_shdi_500",0.31,0.23,-0.15,0.78,1,14366.58,14140.38,0.91,0.09,"",""
"hascrithidia_casteworker",1.21,0.48,0.3,2.18,1,25929.85,15616.01,1,0,"***",""
"hascrithidia_julian_date",0.45,0.21,0.05,0.86,1,21439.44,16001.08,0.99,0.01,"***",""
"hascrithidia_Ijulian_dateE2",-0.33,0.22,-0.75,0.1,1,22872.62,16354.74,0.06,0.94,"",""
"hasnosema_floral_abundance",-0.2,0.28,-0.74,0.34,1,17619.61,14440.24,0.23,0.77,"",""
"hasnosema_floral_diversity",-0.08,0.27,-0.61,0.45,1,19138.15,15080.68,0.38,0.62,"",""
"hasnosema_bombus_richness",0.27,0.24,-0.19,0.74,1,15362.79,15011.68,0.87,0.13,"",""
"hasnosema_native_bee_abundance",0.02,0.03,-0.05,0.08,1,18516.04,15180.59,0.72,0.28,"",""
"hasnosema_impatiens_abundance",0.18,0.13,-0.07,0.43,1,16867.52,15421.87,0.93,0.07,"",""
"hasnosema_prop_blueberry_500",0.33,0.45,-0.55,1.24,1,16964.81,14044.29,0.78,0.22,"",""
"hasnosema_prop_edge_500",0,0.32,-0.62,0.66,1,13616.45,12180.01,0.48,0.52,"",""
"hasnosema_landscape_shdi_500",0.4,0.4,-0.38,1.21,1,15059.63,15081.22,0.85,0.15,"",""
"hasnosema_casteworker",-0.73,0.56,-1.8,0.4,1,28224.09,15275.31,0.1,0.9,"",""
"hasnosema_julian_date",-0.5,0.38,-1.29,0.19,1,16454.68,13933.74,0.08,0.92,"",""
"hasnosema_Ijulian_dateE2",0.1,0.35,-0.63,0.75,1,15312.05,14165.66,0.63,0.37,"",""
"apicystis_floral_abundance",0.14,0.18,-0.22,0.5,1,19721.81,14881.25,0.79,0.21,"",""
"apicystis_floral_diversity",-0.38,0.17,-0.72,-0.04,1,23920.01,15421.08,0.02,0.98,"","**"
"apicystis_bombus_richness",0,0.17,-0.33,0.32,1,19490.7,16216.03,0.51,0.49,"",""
"apicystis_native_bee_abundance",-0.04,0.03,-0.1,0.02,1,24585.59,16678.2,0.1,0.9,"",""
"apicystis_impatiens_abundance",-0.1,0.08,-0.27,0.06,1,25280.95,15132.13,0.13,0.87,"",""
"apicystis_prop_blueberry_500",-0.55,0.31,-1.17,0.04,1,20721.37,16085.74,0.03,0.97,"","*"
"apicystis_prop_edge_500",0.01,0.19,-0.35,0.38,1,18058.44,15852.47,0.52,0.48,"",""
"apicystis_landscape_shdi_500",-0.08,0.23,-0.54,0.38,1,17962.32,14951.94,0.37,0.63,"",""
"apicystis_casteworker",0.76,0.6,-0.34,2.02,1,29768.96,14981.61,0.91,0.09,"",""
"apicystis_julian_date",0.48,0.22,0.06,0.91,1,24391.94,16268.31,0.99,0.01,"***",""
"apicystis_Ijulian_dateE2",-0.27,0.25,-0.77,0.21,1,28168.6,16090.9,0.14,0.86,"",""
