"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"Intercept",-2.9,1.2,-5.2,-0.44,1,8615.03,13623.49,0.01,0.99,"","***"
"floral_abundance",-0.18,0.28,-0.74,0.36,1,15225.68,13819.17,0.25,0.75,"",""
"floral_diversity",-0.06,0.27,-0.59,0.46,1,19176.75,15770,0.41,0.59,"",""
"bombus_richness",0.27,0.24,-0.2,0.75,1,12405.34,14208.7,0.87,0.13,"",""
"native_bee_abundance",0.02,0.03,-0.04,0.08,1,17151.45,14953.62,0.74,0.26,"",""
"impatiens_abundance",0.2,0.13,-0.06,0.44,1,14251.92,14594.51,0.94,0.06,"",""
"prop_blueberry_500",0.53,0.42,-0.29,1.39,1,14854.9,13287.24,0.9,0.1,"",""
"prop_edge_500",0.05,0.32,-0.55,0.71,1,11589.64,12701.44,0.56,0.44,"",""
"landscape_shdi_500",0.15,0.37,-0.59,0.88,1,14743.34,12415.46,0.67,0.33,"",""
"casteworker",-0.72,0.57,-1.8,0.42,1,28617.71,16002.13,0.1,0.9,"",""
"julian_date",-0.54,0.39,-1.34,0.18,1,13990.93,14092.57,0.08,0.92,"",""
"Ijulian_dateE2",0.13,0.36,-0.6,0.81,1,13389.15,13144.13,0.65,0.35,"",""
