"","Comparison","Estimate","EstError","Pgt0","Plt0","BayesP","Pgt0Stars","Plt0Stars","adjusted_p"
"1","Intercept - final_idBombus_flavifrons",-8.15530036605274,3.63581572828575,0.0012,0.9988,0.00119999999999998,"**","ns",0.0179999999999997
"2","Intercept - final_idBombus_impatiens",-2.77525354385443,4.1024129704736,0.2468,0.7532,0.2468,"ns","ns",1
"3","Intercept - final_idBombus_mixtus",-7.37470717218848,3.64106032253267,0.0059,0.9941,0.00586666666666669,"**","ns",0.0880000000000003
"4","Intercept - final_idBombus_rufocinctus",-7.50928316147715,3.7083140723492,0.0088,0.9912,0.00880000000000003,"**","ns",0.132
"5","Intercept - final_idBombus_vosnesenskii",-8.44064282680683,3.65667581763076,0.0017,0.9983,0.00166666666666671,"**","ns",0.0250000000000006
"6","final_idBombus_flavifrons - final_idBombus_impatiens",5.38004682219831,2.8705455750682,0.9971,0.0029,0.00293333333333334,"ns","**",0.0440000000000002
"7","final_idBombus_flavifrons - final_idBombus_mixtus",0.780593193864259,0.896259569263865,0.8145,0.1855,0.185466666666667,"ns","ns",1
"8","final_idBombus_flavifrons - final_idBombus_rufocinctus",0.646017204575591,1.40709050576829,0.6609,0.3391,0.339133333333333,"ns","ns",1
"9","final_idBombus_flavifrons - final_idBombus_vosnesenskii",-0.285342460754092,1.0343302542996,0.3758,0.6242,0.3758,"ns","ns",1
"10","final_idBombus_impatiens - final_idBombus_mixtus",-4.59945362833405,2.87372457011847,0.0129,0.9871,0.0128666666666667,"*","ns",0.193
"11","final_idBombus_impatiens - final_idBombus_rufocinctus",-4.73402961762272,3.05481102476023,0.0328,0.9672,0.0328000000000001,"*","ns",0.492000000000001
"12","final_idBombus_impatiens - final_idBombus_vosnesenskii",-5.6653892829524,2.91151934946907,0.0033,0.9967,0.0033333333333333,"**","ns",0.0499999999999995
"13","final_idBombus_mixtus - final_idBombus_rufocinctus",-0.134575989288667,1.40561441008777,0.4251,0.5749,0.425066666666667,"ns","ns",1
"14","final_idBombus_mixtus - final_idBombus_vosnesenskii",-1.06593565461835,1.02450157250545,0.1422,0.8578,0.1422,"ns","ns",1
"15","final_idBombus_rufocinctus - final_idBombus_vosnesenskii",-0.931359665329683,1.48951726506864,0.2682,0.7318,0.2682,"ns","ns",1
