"","Comparison","Estimate","EstError","Pgt0","Plt0","BayesP","Pgt0Stars","Plt0Stars","adjusted_p"
"1","Intercept - final_idBombus_flavifrons",-6.65454499543894,3.32264443285041,0.0079,0.9921,0.00786666666666669,"**","ns",0.118
"2","Intercept - final_idBombus_impatiens",-5.78656066370685,3.32412071696624,0.0235,0.9765,0.0235333333333333,"*","ns",0.352999999999999
"3","Intercept - final_idBombus_mixtus",-6.38237631517901,3.30669810942948,0.0106,0.9894,0.0106000000000001,"*","ns",0.159000000000001
"4","Intercept - final_idBombus_rufocinctus",-8.42838998578464,3.29628387845877,3e-04,0.9997,0.000333333333333297,"***","ns",0.00499999999999945
"5","Intercept - final_idBombus_vosnesenskii",-6.47523333758038,3.38639900613083,0.0166,0.9834,0.0165999999999999,"*","ns",0.248999999999999
"6","final_idBombus_flavifrons - final_idBombus_impatiens",0.867984331732094,1.10743475960069,0.7943,0.2057,0.205733333333333,"ns","ns",1
"7","final_idBombus_flavifrons - final_idBombus_mixtus",0.272168680259929,1.00915350105645,0.6271,0.3729,0.372933333333333,"ns","ns",1
"8","final_idBombus_flavifrons - final_idBombus_rufocinctus",-1.77384499034569,0.969903088034821,0.0261,0.9739,0.0260666666666667,"*","ns",0.391
"9","final_idBombus_flavifrons - final_idBombus_vosnesenskii",0.179311657858565,1.4545723049684,0.5254,0.4746,0.4746,"ns","ns",1
"10","final_idBombus_impatiens - final_idBombus_mixtus",-0.595815651472165,0.997761388383268,0.2735,0.7265,0.273466666666667,"ns","ns",1
"11","final_idBombus_impatiens - final_idBombus_rufocinctus",-2.64182932207779,0.948566085901653,0.0018,0.9982,0.00180000000000002,"**","ns",0.0270000000000004
"12","final_idBombus_impatiens - final_idBombus_vosnesenskii",-0.688672673873529,1.43900912613504,0.2861,0.7139,0.286066666666667,"ns","ns",1
"13","final_idBombus_mixtus - final_idBombus_rufocinctus",-2.04601367060562,0.836434493628245,0.007,0.993,0.00700000000000001,"**","ns",0.105
"14","final_idBombus_mixtus - final_idBombus_vosnesenskii",-0.092857022401364,1.36304801488482,0.4334,0.5666,0.4334,"ns","ns",1
"15","final_idBombus_rufocinctus - final_idBombus_vosnesenskii",1.95315664820426,1.34109786993879,0.9513,0.0487,0.0486666666666666,"ns","*",0.73
